"key";"source";"source_nom";"target";"target_nom";"distance_km";"premiere_annee";"derniere_annee";"n_annees";"conttype"
"342-4341";"4341";"Old Dahomey";"342";"Kingdom of Serbia";4554,00694997769;1857;1894;11;NA
"403-6811";"6811";"West Aden Protectorate";"403";"Sao Tome-Principe";4554,16613267135;1937;1938;2;NA
"3353-403";"3353";"Dodecanese Is. (Aegean Is.)";"403";"Sao Tome-Principe";4554,26219590486;1915;1938;24;NA
"4347-541";"4347";"Cotonou";"541";"Mozambique (Portuguese East Africa)";4554,59387828686;1885;1892;5;NA
"752-7693";"7693";"Sindh";"752";"Portuguese India";4554,85064178586;1833;1840;8;NA
"9205-990";"9205";"Auckland Is.";"990";"Samoa (Western Samoa) (German Samoa)";4555,6624606133;1903;1909;6;NA
"700-7110";"7110";"Kwanchowan";"700";"Afghanistan";4558,13540182818;1898;1938;13;NA
"395-6202";"6202";"Cyrenaica";"395";"Iceland";4559,24535617128;1927;1930;3;NA
"10-3362";"3362";"Wallachia";"10";"Greenland";4559,5427413283;1849;1850;2;NA
"5109-645";"5109";"Mafia I.";"645";"Iraq (Mesopotamia)";4560,1504941889;1917;1919;2;NA
"7104-752";"7104";"Kwangtung Territory";"752";"Portuguese India";4560,93063731754;1906;1938;33;NA
"338-6982";"6982";"Kuria Muria Is.";"338";"Malta";4561,44430837507;1857;1859;2;NA
"460-5109";"5109";"Mafia I.";"460";"German Togoland";4564,37681645332;1915;1919;2;NA
"1029-256";"1029";"St. Pierre and Miquelon";"256";"Saar";4564,53263919723;1920;1935;16;NA
"5803-670";"5803";"St. Marie de Madagascar";"670";"Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah)";4564,93931117334;1892;1892;1;NA
"1029-2248";"2248";"Holstein";"1029";"St. Pierre and Miquelon";4565,76057831917;1844;1867;15;NA
"365-7588";"7588";"Baluchistan (Kalat)";"365";"Russia (USSR)";4565,82332405944;1923;1937;6;NA
"4782-581";"4782";"Oil Rivers Protectorate";"581";"Comoros";4567,21717124842;1887;1899;13;NA
"1029-91";"1029";"St. Pierre and Miquelon";"91";"Honduras";4567,33361293195;1842;1938;77;NA
"2556-420";"2556";"Rhineland";"420";"Gambia";4568,60900532309;1920;1920;1;NA
"1029-1081";"1081";"Mosquito Coast";"1029";"St. Pierre and Miquelon";4568,72169563872;1865;1867;2;NA
"1049-70";"1049";"Tobago";"70";"Mexico";4569,64300670025;1833;1833;1;NA
"3551-452";"3551";"Eastern Rumelia";"452";"Ghana (Gold Coast)";4570,34779455884;1882;1884;3;NA
"100-1161";"1161";"Buenos Aires";"100";"Colombia (New Granada) (Gran Colombia)";4570,6889125736;1852;1860;9;NA
"4060-552";"4060";"Tristan da Cunha";"552";"Zimbabwe (Rhodesia) (Southern Rhodesia)";4570,78155566255;1938;1938;1;NA
"751-8401";"8401";"Sulu Sultanate";"751";"French India";4572,004307868;1838;1915;16;NA
"3343-700";"3343";"Fiume";"700";"Afghanistan";4572,63893512524;1919;1924;5;NA
"402-5403";"5403";"Cabinda (Portuguese Congo)";"402";"Cape Verde";4573,74689762521;1912;1938;24;NA
"7020-800";"7020";"Bokhara";"800";"Thailand (Siam)";4574,03637265712;1833;1867;32;NA
"2003-4383";"4383";"Loos Is.";"2003";"Channel Is.";4574,3657870649;1897;1904;8;NA
"7104-8221";"8221";"Johore";"7104";"Kwangtung Territory";4574,49623870892;1906;1923;18;NA
"9620-990";"9620";"Pitcairn Is.";"990";"Samoa (Western Samoa) (German Samoa)";4577,04346467177;1919;1938;20;NA
"5813-780";"5813";"Anjouan";"780";"Sri Lanka (Ceylon)";4578,16802445867;1863;1903;6;NA
"4341-6802";"6802";"Perim I.";"4341";"Old Dahomey";4579,00811451115;1892;1894;3;NA
"342-4781";"4781";"Lagos";"342";"Kingdom of Serbia";4579,82392181585;1886;1906;21;NA
"342-4783";"4783";"Southern Nigeria (Niger Coast Protectorate)";"342";"Kingdom of Serbia";4579,82392181585;1893;1913;21;NA
"2556-692";"2556";"Rhineland";"692";"Bahrain";4579,88868584699;1920;1920;1;NA
"2903-698";"2903";"Cracow (Free City of Cracow)";"698";"Oman (Sultanate of Muscat and Oman)";4580,4907428826;1843;1843;1;NA
"3343-522";"3343";"Fiume";"522";"Djibouti (Afar and Issas) (French Somaliland)";4580,52150599751;1919;1924;5;NA
"7020-7502";"7502";"Nicobar Is.";"7020";"Bokhara";4580,88064817667;1843;1843;1;NA
"355-4341";"4341";"Old Dahomey";"355";"Bulgaria";4580,9375154195;1884;1894;10;NA
"730-8218";"8218";"Manjung (Dindings)";"730";"Korea (Chosen)";4581,70734911089;1910;1910;1;NA
"4345-541";"4345";"Ouidah";"541";"Mozambique (Portuguese East Africa)";4583,32063689929;1886;1886;1;NA
"3349-7693";"7693";"Sindh";"3349";"Ionian Is.";4584,65145136463;1833;1840;8;NA
"7693-8532";"8532";"Riau";"7693";"Sindh";4585,28292358359;1838;1840;3;NA
"7104-827";"7104";"Kwangtung Territory";"827";"Straits Settlements";4586,23557376633;1906;1938;33;NA
"355-4781";"4781";"Lagos";"355";"Bulgaria";4587,30033110647;1886;1906;21;NA
"355-4783";"4783";"Southern Nigeria (Niger Coast Protectorate)";"355";"Bulgaria";4587,30033110647;1893;1913;21;NA
"360-6800";"6800";"Socotra I.";"360";"Romania";4587,81998927557;1930;1938;8;NA
"700-8152";"8152";"Annam";"700";"Afghanistan";4588,84261674452;1895;1900;6;NA
"220-7030";"7030";"Khiva";"220";"France";4591,6636882974;1833;1874;36;NA
"280-7010";"7010";"Kokand";"280";"Mecklenburg Schwerin";4591,98262354934;1833;1867;34;NA
"501-6401";"6401";"Cilicia";"501";"Kenya (British East Africa Protectorate)";4592,30215385516;1919;1921;3;NA
"342-4792";"4792";"Old Calabar (Efik)";"342";"Kingdom of Serbia";4592,48718961194;1884;1884;1;NA
"955-9620";"9620";"Pitcairn Is.";"955";"Tonga (Haʻapai)";4593,71081815521;1919;1938;20;NA
"7110-980";"7110";"Kwanchowan";"980";"U. S. Pacific Trust Territories (South Seas Mandate)";4593,80941655855;1932;1932;1;NA
"490-6401";"6401";"Cilicia";"490";"Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)";4593,85002855803;1919;1921;3;NA
"1023-110";"1023";"New Brunswick";"110";"Guyana (British Guiana)";4594,35913159901;1838;1867;27;NA
"4347-563";"4347";"Cotonou";"563";"Transvaal (South African Republic)";4595,44128390599;1885;1892;4;NA
"6203-7020";"7020";"Bokhara";"6203";"Tripolitania (Regency of Tripoli)";4595,61191775001;1833;1835;3;NA
"2556-475";"2556";"Rhineland";"475";"Nigeria";4596,13963647387;1920;1920;1;NA
"5803-751";"5803";"St. Marie de Madagascar";"751";"French India";4596,63189748188;1884;1892;5;NA
"150-4060";"4060";"Tristan da Cunha";"150";"Paraguay";4597,02970751225;1869;1938;10;NA
"735-8151";"8151";"Cochin China";"735";"Far Eastern Republic";4597,10139859798;1921;1922;2;NA
