CafFob,value,status,year,importerLabel,exporterLabel
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Bermuda
FromExporter,11058.203,ok,1847,Austria-Hungary (Austrian Empire),Bremen
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Cape Colony (Cape of Good Hope)
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Chile
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Cuba
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Dominica
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Ecuador
FromExporter,141670.94,ok,1847,Austria-Hungary (Austrian Empire),France
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),French Guiana
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),French India
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Gambia
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Ghana (Gold Coast)
FromExporter,42304.516,ok,1847,Austria-Hungary (Austrian Empire),Greece
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Guadeloupe
FromExporter,18442.551,ok,1847,Austria-Hungary (Austrian Empire),Hamburg
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),India
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Leeward Is.
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Martinique
FromExporter,53284.012,ok,1847,Austria-Hungary (Austrian Empire),Moldavia
FromExporter,228437.19,ok,1847,Austria-Hungary (Austrian Empire),Netherlands
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),New South Wales
FromExporter,101452.13,ok,1847,Austria-Hungary (Austrian Empire),Papal States
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),People's Republic of China (China)
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Peru
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Reunion (Bourbon I.)
FromExporter,755814.94,ok,1847,Austria-Hungary (Austrian Empire),Russia (USSR)
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Senegal
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Shangai
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Sierra Leone
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),South Australia
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Sweden
FromExporter,86576.68,ok,1847,Austria-Hungary (Austrian Empire),Tuscany
FromExporter,537009,ok,1847,Austria-Hungary (Austrian Empire),United Kingdom
FromExporter,247598.53,ok,1847,Austria-Hungary (Austrian Empire),United States of America
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Windward Is.
FromExporter,0,imputed zero,1847,Baden,Bahamas
FromExporter,0,imputed zero,1847,Baden,Belgium
FromExporter,0,imputed zero,1847,Baden,Bermuda
FromExporter,,unknown despite gravity,1847,Baden,Bremen
FromExporter,0,imputed zero,1847,Baden,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Baden,Chile
FromExporter,,unknown despite gravity,1847,Baden,Cuba
FromExporter,0,imputed zero,1847,Baden,Dominica
FromExporter,0,imputed zero,1847,Baden,Ecuador
FromExporter,,unknown despite gravity,1847,Baden,France
FromExporter,0,imputed zero,1847,Baden,French Guiana
FromExporter,0,imputed zero,1847,Baden,French India
FromExporter,0,imputed zero,1847,Baden,Gambia
FromExporter,0,imputed zero,1847,Baden,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Baden,Greece
FromExporter,0,imputed zero,1847,Baden,Guadeloupe
FromExporter,0,imputed zero,1847,Baden,Hamburg
FromExporter,,unknown despite gravity,1847,Baden,India
FromExporter,0,imputed zero,1847,Baden,Leeward Is.
FromExporter,0,imputed zero,1847,Baden,Martinique
FromExporter,0,imputed zero,1847,Baden,Moldavia
FromExporter,0,imputed zero,1847,Baden,Netherlands
FromExporter,0,imputed zero,1847,Baden,New South Wales
FromExporter,0,imputed zero,1847,Baden,Papal States
FromExporter,0,imputed zero,1847,Baden,People's Republic of China (China)
FromExporter,,unknown despite gravity,1847,Baden,Peru
FromExporter,0,imputed zero,1847,Baden,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Baden,Russia (USSR)
FromExporter,0,imputed zero,1847,Baden,Senegal
FromExporter,0,imputed zero,1847,Baden,Shangai
FromExporter,0,imputed zero,1847,Baden,Sierra Leone
FromExporter,0,imputed zero,1847,Baden,South Australia
FromExporter,0,imputed zero,1847,Baden,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Baden,Sweden
FromExporter,,unknown despite gravity,1847,Baden,Tuscany
