year,id,full_id,importerLabel,exporterLabel,CafFob,newimporterId,newimporterLabel,newexporterId,newexporterLabel,valueToSplit,pred_trade,totreat_flows,treated_flows
1907,220<-Cuba & Puerto Rico,220<-Cuba & Puerto RicoFromImporter,France,Cuba & Puerto Rico,FromImporter,220,France,6,Puerto Rico,257997.94,80786.242,598,235
1907,220<-Cuba & Puerto Rico,220<-Cuba & Puerto RicoFromImporter,France,Cuba & Puerto Rico,FromImporter,220,France,40,Cuba,257997.94,177211.69,598,235
1907,220<-Dominican Republic (Santo Domingo) & Haiti,220<-Dominican Republic (Santo Domingo) & HaitiFromImporter,France,Dominican Republic (Santo Domingo) & Haiti,FromImporter,220,France,41,Haiti,1309835.6,489002.63,598,235
1907,220<-Dominican Republic (Santo Domingo) & Haiti,220<-Dominican Republic (Santo Domingo) & HaitiFromImporter,France,Dominican Republic (Santo Domingo) & Haiti,FromImporter,220,France,42,Dominican Republic (Santo Domingo),1309835.6,820833,598,235
1907,220<-Kingdom of Serbia & Montenegro,220<-Kingdom of Serbia & MontenegroFromImporter,France,Kingdom of Serbia & Montenegro,FromImporter,220,France,341,Montenegro,178613.95,31798.523,598,235
1907,220<-Kingdom of Serbia & Montenegro,220<-Kingdom of Serbia & MontenegroFromImporter,France,Kingdom of Serbia & Montenegro,FromImporter,220,France,342,Kingdom of Serbia,178613.95,146815.42,598,235
1907,220<-Madagascar (Malagasy Republic) & Mayotte,220<-Madagascar (Malagasy Republic) & MayotteFromImporter,France,Madagascar (Malagasy Republic) & Mayotte,FromImporter,220,France,581,Comoros,381043.09,156.18004,598,235
1907,220<-Madagascar (Malagasy Republic) & Mayotte,220<-Madagascar (Malagasy Republic) & MayotteFromImporter,France,Madagascar (Malagasy Republic) & Mayotte,FromImporter,220,France,580,Madagascar (Malagasy Republic),381043.09,380886.94,598,235
1907,225<-Afghanistan & Iran (Persia),225<-Afghanistan & Iran (Persia)FromImporter,Switzerland,Afghanistan & Iran (Persia),FromImporter,225,Switzerland,630,Iran (Persia),3014.2732,654.44946,598,235
1907,225<-Afghanistan & Iran (Persia),225<-Afghanistan & Iran (Persia)FromImporter,Switzerland,Afghanistan & Iran (Persia),FromImporter,225,Switzerland,700,Afghanistan,3014.2732,2359.8237,598,235
1907,225<-Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),225<-Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)FromImporter,Switzerland,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),FromImporter,225,Switzerland,615,Algeria (Regency of Algiers),88843.031,39959.699,598,235
1907,225<-Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),225<-Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)FromImporter,Switzerland,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),FromImporter,225,Switzerland,616,Tunisia (Regency of Tunis),88843.031,48883.332,598,235
1907,225<-French Indochina & Thailand (Siam),225<-French Indochina & Thailand (Siam)FromImporter,Switzerland,French Indochina & Thailand (Siam),FromImporter,225,Switzerland,810,French Indochina,2519.9429,914.34344,598,235
1907,225<-French Indochina & Thailand (Siam),225<-French Indochina & Thailand (Siam)FromImporter,Switzerland,French Indochina & Thailand (Siam),FromImporter,225,Switzerland,800,Thailand (Siam),2519.9429,1605.5996,598,235
