key,common_empire,year
"1026-200",1,1831
"1026-200",1,1832
"1026-200",1,1833
"1026-200",1,1834
"1026-200",1,1835
"1026-200",1,1836
"1026-200",1,1837
"1026-200",1,1838
"1026-200",1,1839
"1026-200",1,1840
"1026-200",1,1841
"1027-200",1,1858
"1027-200",1,1859
"1027-200",1,1860
"1027-200",1,1861
"1027-200",1,1862
"1027-200",1,1863
"1027-200",1,1864
"1027-200",1,1865
"1027-200",1,1866
"1027-200",1,1867
"1027-200",1,1868
"1027-200",1,1869
"1027-200",1,1870
"1027-200",1,1871
"1028-200",1,1849
"1028-200",1,1850
"1028-200",1,1851
"1028-200",1,1852
"1028-200",1,1853
"1028-200",1,1854
"1028-200",1,1855
"1028-200",1,1856
"1028-200",1,1857
"1028-200",1,1858
"1028-200",1,1859
"1028-200",1,1860
"1028-200",1,1861
"1028-200",1,1862
"1028-200",1,1863
"1028-200",1,1864
"1028-200",1,1865
"1028-200",1,1866
"1029-220",1,1816
"1029-220",1,1817
"1029-220",1,1818
"1029-220",1,1819
"1029-220",1,1820
"1029-220",1,1821
"1029-220",1,1822
"1029-220",1,1823
"1029-220",1,1824
"1029-220",1,1825
"1029-220",1,1826
"1029-220",1,1827
"1029-220",1,1828
"1029-220",1,1829
"1029-220",1,1830
"1029-220",1,1831
"1029-220",1,1833
"1029-220",1,1835
"1029-220",1,1836
"1029-220",1,1837
"1029-220",1,1838
"1029-220",1,1839
"1029-220",1,1840
"1029-220",1,1841
"1029-220",1,1842
"1029-220",1,1846
"1029-220",1,1847
"1029-220",1,1848
"1029-220",1,1850
"1029-220",1,1851
"1029-220",1,1852
"1029-220",1,1853
"1029-220",1,1854
"1029-220",1,1855
"1029-220",1,1856
"1029-220",1,1861
"1029-220",1,1862
"1029-220",1,1863
"1029-220",1,1865
"1029-220",1,1866
"1029-220",1,1867
"1029-220",1,1868
"1029-220",1,1869
"1029-220",1,1870
"1029-220",1,1871
"1029-220",1,1872
"1029-220",1,1873
"1029-220",1,1874
"1029-220",1,1875
"1029-220",1,1876
"1029-220",1,1877
"1029-220",1,1878
"1029-220",1,1879
"1029-220",1,1880
"1029-220",1,1881
"1029-220",1,1882
"1029-220",1,1883
"1029-220",1,1884
"1029-220",1,1885
"1029-220",1,1886
"1029-220",1,1888
"1029-220",1,1889
"1029-220",1,1890
"1029-220",1,1891
"1029-220",1,1892
"1029-220",1,1893
"1029-220",1,1895
"1029-220",1,1896
"1029-220",1,1897
"1029-220",1,1898
"1029-220",1,1899
"1029-220",1,1900
"1029-220",1,1901
"1029-220",1,1903
"1029-220",1,1904
"1029-220",1,1905
"1029-220",1,1906
"1029-220",1,1907
"1029-220",1,1908
"1029-220",1,1909
"1029-220",1,1912
"1029-220",1,1913
"1029-220",1,1914
"1029-220",1,1915
"1029-220",1,1917
"1029-220",1,1918
"1029-220",1,1919
"1029-220",1,1920
"1029-220",1,1921
"1029-220",1,1922
"1029-220",1,1923
"1029-220",1,1924
"1029-220",1,1925
"1029-220",1,1926
"1029-220",1,1928
"1029-220",1,1929
"1029-220",1,1930
"1029-220",1,1931
"1029-220",1,1932
"1029-220",1,1933
"1029-220",1,1934
"1029-220",1,1935
"1029-220",1,1936
"1029-220",1,1937
"1029-220",1,1938
"1029-220",1,1939
"1029-220",1,1940
"1029-220",1,1941
"1029-220",1,1942
"1029-220",1,1943
"1029-220",1,1944
"1029-220",1,1945
"1029-220",1,1947
"1029-220",1,1948
"1029-220",1,1949
"1029-220",1,1950
"1029-220",1,1952
"1029-220",1,1953
"1029-220",1,1954
"1029-220",1,1955
"1029-220",1,1956
"1029-220",1,1957
"1029-220",1,1958
"1029-220",1,1959
"1029-220",1,1961
"1029-220",1,1962
"1029-220",1,1963
"1029-220",1,1964
"1029-220",1,1965
"1029-220",1,1966
"1029-220",1,1968
"1029-220",1,1969
"1029-220",1,1970
"1029-220",1,1973
"1029-220",1,1975
"1029-220",1,1976
"1029-220",1,1977
"1029-220",1,1979
"1029-220",1,1980
"1029-220",1,1981
"1029-220",1,1982
"1029-220",1,1985
"1029-220",1,1986
"1029-220",1,1987
"1029-220",1,1988
"1029-220",1,1990
"1029-220",1,1991
"1029-220",1,1992
"1029-220",1,1993
"1029-220",1,1995
"1029-220",1,1996
"1029-220",1,1997
"1029-220",1,1998
"1029-220",1,2001
"1029-220",1,2002
"1029-220",1,2003
"1029-220",1,2004
"1029-220",1,2005
"1029-220",1,2009
"1029-220",1,2010
"1029-220",1,2012
"1029-220",1,2013
"1029-220",1,2014
"1029-220",1,2015
"1029-220",1,2016
"1029-220",1,2017
"1029-220",1,2018
"1029-220",1,2020
"1029-220",1,2021
"1029-220",1,2023
"1029-220",1,2026
"1029-220",1,2027
"1029-220",1,2028
"1029-220",1,2029
"1029-220",1,2033
"1029-220",1,2056
"1029-220",1,2063
"1029-220",1,2071
"1029-220",1,2079
"1029-220",1,2080
"1029-220",1,2085
"1029-220",1,2096
"1029-220",1,2115
"1029-220",1,2120
"1029-220",1,2129
"1029-220",1,2136
"1029-220",1,2140
"1029-220",1,2141
"1029-220",1,2143
"1029-220",1,2147
"1029-220",1,2152
"1029-220",1,2153
"1029-220",1,2158
"1029-220",1,2163
"1029-220",1,2168
"1029-220",1,2169
"1029-220",1,2175
"1029-220",1,2176
"1029-220",1,2177
"1029-220",1,2180
"1029-220",1,2188
"1029-220",1,2191
"1032-200",1,1851
"1032-200",1,1858
"1032-200",1,1862
"1032-200",1,1864
"1032-200",1,1866
"1032-200",1,1867
"1032-200",1,1873
"1032-200",1,1875
"1032-200",1,1879
"1032-200",1,1880
"1032-200",1,1883
"1032-200",1,1884
"1032-200",1,1885
"1032-200",1,1886
"1032-200",1,1890
"1032-200",1,1892
"1032-200",1,1896
"1032-200",1,1898
"1032-200",1,1901
"1032-200",1,1903
"1032-200",1,1910
"1032-200",1,1911
"1032-200",1,1915
"1032-200",1,1918
"1032-200",1,1920
"1032-200",1,1933
"1032-200",1,1962
"1032-200",1,1964
"1032-200",1,1966
"1032-200",1,1970
"1032-200",1,1973
"1032-200",1,1974
"1032-200",1,1975
"1032-200",1,1979
"1032-200",1,1986
"1032-200",1,1989
"1032-200",1,1993
"1032-200",1,1994
"1032-200",1,1995
"1032-200",1,1997
"1032-200",1,2003
"1032-200",1,2007
"1032-200",1,2008
"1032-200",1,2009
"1032-200",1,2010
"1032-200",1,2011
"1032-200",1,2013
"1032-200",1,2014
"1032-200",1,2016
"1032-200",1,2017
"1032-200",1,2018
"1032-200",1,2019
"1032-200",1,2020
"1032-200",1,2021
"1032-200",1,2022
"1032-200",1,2023
"1032-200",1,2026
"1032-200",1,2027
"1032-200",1,2028
"1032-200",1,2029
"1032-200",1,2030
"1032-200",1,2031
"1032-200",1,2033
"1032-200",1,2034
"1032-200",1,2035
"1032-200",1,2040
"1032-200",1,2043
"1032-200",1,2046
"1032-200",1,2047
"1032-200",1,2048
"1032-200",1,2049
"1032-200",1,2053
"1032-200",1,2054
"1032-200",1,2062
"1032-200",1,2063
"1032-200",1,2064
"1032-200",1,2065
"1032-200",1,2066
"1032-200",1,2067
"1032-200",1,2068
"1032-200",1,2070
"1032-200",1,2071
"1032-31",1,1816
"1032-31",1,1817
"1032-31",1,1818
"1032-31",1,1819
"1032-31",1,1820
"1032-31",1,1821
"1032-31",1,1822
"1032-31",1,1823
"1032-31",1,1824
"1032-31",1,1825
"1032-31",1,1826
"1032-31",1,1827
"1032-31",1,1828
"1032-31",1,1829
"1032-31",1,1830
"1032-31",1,1831
"1032-31",1,1832
"1032-31",1,1833
"1032-31",1,1834
"1032-31",1,1835
"1032-31",1,1836
"1032-31",1,1837
"1032-31",1,1838
"1032-31",1,1839
"1032-31",1,1840
"1032-31",1,1841
"1032-31",1,1842
"1032-31",1,1843
"1032-31",1,1844
"1032-31",1,1845
"1032-31",1,1846
"1032-31",1,1847
"1032-31",1,1848
"1032-51",1,1873
"1032-51",1,1874
"1032-51",1,1875
"1032-51",1,1876
"1032-51",1,1877
"1032-51",1,1878
"1032-51",1,1879
"1032-51",1,1880
"1032-51",1,1881
"1032-51",1,1882
"1032-51",1,1883
"1032-51",1,1884
"1032-51",1,1885
"1032-51",1,1886
"1032-51",1,1887
"1032-51",1,1888
"1032-51",1,1889
"1032-51",1,1890
"1032-51",1,1891
"1032-51",1,1892
"1032-51",1,1893
"1032-51",1,1894
"1032-51",1,1895
"1032-51",1,1896
"1032-51",1,1897
"1032-51",1,1898
"1032-51",1,1899
"1032-51",1,1900
"1032-51",1,1901
"1032-51",1,1902
"1032-51",1,1903
"1032-51",1,1904
"1032-51",1,1905
"1032-51",1,1906
"1032-51",1,1907
"1032-51",1,1908
"1032-51",1,1909
"1032-51",1,1910
"1032-51",1,1911
"1032-51",1,1912
"1032-51",1,1913
"1032-51",1,1914
"1032-51",1,1915
"1032-51",1,1916
"1032-51",1,1917
"1032-51",1,1918
"1032-51",1,1919
"1032-51",1,1920
"1032-51",1,1921
"1032-51",1,1922
"1032-51",1,1923
"1032-51",1,1924
"1032-51",1,1925
"1032-51",1,1926
"1032-51",1,1927
"1032-51",1,1928
"1032-51",1,1929
"1032-51",1,1930
"1032-51",1,1931
"1032-51",1,1932
"1032-51",1,1933
"1032-51",1,1934
"1032-51",1,1935
"1032-51",1,1936
"1032-51",1,1937
"1032-51",1,1938
"1032-51",1,1939
"1032-51",1,1940
"1032-51",1,1941
"1032-51",1,1942
"1032-51",1,1943
"1032-51",1,1944
"1032-51",1,1945
"1032-51",1,1946
"1032-51",1,1947
"1032-51",1,1948
"1032-51",1,1949
"1032-51",1,1950
"1032-51",1,1951
"1032-51",1,1952
"1032-51",1,1953
"1032-51",1,1954
"1032-51",1,1955
"1032-51",1,1956
"1032-51",1,1957
"1032-51",1,1958
"1033-200",1,1962
"1033-200",1,1963
"1033-200",1,1964
"1033-200",1,1965
"1033-200",1,1966
"1033-200",1,1967
"1033-200",1,1968
"1033-200",1,1969
"1033-200",1,1970
"1033-200",1,1971
"1033-200",1,1972
"1033-200",1,1973
"1033-200",1,1974
"1033-200",1,1975
"1033-200",1,1976
"1033-200",1,1977
"1033-200",1,1978
"1033-200",1,1979
"1033-200",1,1980
"1033-200",1,1981
"1033-200",1,1982
"1033-200",1,1983
"1033-200",1,1984
"1033-200",1,1985
"1033-200",1,1986
"1033-200",1,1987
"1033-200",1,1988
"1033-200",1,1989
"1033-200",1,1990
"1033-200",1,1991
"1033-200",1,1992
"1033-200",1,1993
"1033-200",1,1994
"1033-200",1,1995
"1033-200",1,1996
"1033-200",1,1997
"1033-200",1,1998
"1033-200",1,1999
"1033-200",1,2000
"1033-200",1,2001
"1033-200",1,2002
"1033-200",1,2003
"1033-200",1,2004
"1033-200",1,2005
"1033-200",1,2006
"1033-200",1,2007
"1033-200",1,2008
"1033-200",1,2009
"1033-200",1,2010
"1033-200",1,2011
"1033-200",1,2012
"1033-200",1,2013
"1033-200",1,2014
"1033-200",1,2015
"1033-200",1,2016
"1033-200",1,2017
"1033-200",1,2018
"1033-200",1,2019
"1033-200",1,2020
"1033-200",1,2021
"1033-200",1,2022
"1033-51",1,1863
"1033-51",1,1864
"1033-51",1,1865
"1033-51",1,1866
"1033-51",1,1867
"1033-51",1,1868
"1033-51",1,1869
"1033-51",1,1870
"1033-51",1,1871
"1033-51",1,1872
"1033-51",1,1873
"1033-51",1,1874
"1033-51",1,1875
"1033-51",1,1876
"1033-51",1,1877
"1033-51",1,1878
"1033-51",1,1879
"1033-51",1,1880
"1033-51",1,1881
"1033-51",1,1882
"1033-51",1,1883
"1033-51",1,1884
"1033-51",1,1885
"1033-51",1,1886
"1033-51",1,1887
"1033-51",1,1888
"1033-51",1,1889
"1033-51",1,1890
"1033-51",1,1891
"1033-51",1,1892
"1033-51",1,1893
"1033-51",1,1894
"1033-51",1,1895
"1033-51",1,1896
"1033-51",1,1897
"1033-51",1,1898
"1033-51",1,1899
"1033-51",1,1900
"1033-51",1,1901
"1033-51",1,1902
"1033-51",1,1903
"1033-51",1,1904
"1033-51",1,1905
"1033-51",1,1906
"1033-51",1,1907
"1033-51",1,1908
"1033-51",1,1909
"1033-51",1,1910
"1033-51",1,1911
"1033-51",1,1912
"1033-51",1,1913
"1033-51",1,1914
"1033-51",1,1915
"1033-51",1,1916
"1033-51",1,1917
"1033-51",1,1918
"1033-51",1,1919
"1033-51",1,1920
"1033-51",1,1921
"1033-51",1,1922
"1033-51",1,1923
"1033-51",1,1924
"1033-51",1,1925
"1033-51",1,1926
"1033-51",1,1927
"1033-51",1,1928
"1033-51",1,1929
"1033-51",1,1930
"1033-51",1,1931
"1033-51",1,1932
"1033-51",1,1933
"1033-51",1,1934
"1033-51",1,1935
"1033-51",1,1936
"1033-51",1,1937
"1033-51",1,1938
"1033-51",1,1939
"1033-51",1,1940
"1033-51",1,1941
"1033-51",1,1942
"1033-51",1,1943
"1033-51",1,1944
"1033-51",1,1945
"1033-51",1,1946
"1033-51",1,1947
"1033-51",1,1948
"1033-51",1,1949
"1033-51",1,1950
"1033-51",1,1951
"1033-51",1,1952
"1033-51",1,1953
"1033-51",1,1954
