GPH_code,GPH_name,continent,lat,lng,region_AndersonNorheim,subregion_AndersonNorheim,Comment,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10,period_11
251,Hohenzollern Sigmaringen,Europe,48.0880555555556,9.21666666666667,WE,,,1816-1849 | Sovereign (limited) | NA,1849-1946 | Part of | 239,NA,NA,NA,NA,NA,NA,NA,NA,NA
7532,Holkar (Indore),Asia,22.7252,75.8655,AS,DA,,1816-1818 | Part of | 7589,1818-1950 | Vassal of | 750,1950-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA
2248,Holstein,Europe,54.1667,9.66667,WE,,,1816-1865 | Sovereign (limited) | NA,1865-1867 | Occupied by | 300,1867-2022 | Part of | 2555,NA,NA,NA,NA,NA,NA,NA,NA
91,Honduras,America,14.633333,-86.816667,LA,,,1816-1821 | Part of | 1070,1821-1823 | Part of | 70,1823-1838 | Part of | 89,1838-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA
720,Hong Kong,Asia,22.278333333333,114.15861111111,AS,DA,,1816-1839 | Part of | 710,1839-1841 | Occupied by | 200,1841-1942 | Colony of | 200,1942-1945 | Occupied by | 740,1945-1997 | Colony of | 200,1997-2022 | Dependency of | 710,NA,NA,NA,NA,NA
7776,Hopong,Asia,20.7977777777778,97.1761111111111,AS,DA,,1816-1887 | Vassal of | 775,1887-1948 | Protectorate of | 200,1948-2022 | Part of | 775,NA,NA,NA,NA,NA,NA,NA,NA
7775,Hsahtung,Asia,20.1612018538175,97.2524141691608,AS,DA,,1816-1887 | Vassal of | 775,1887-1948 | Protectorate of | 200,1948-2022 | Part of | 775,NA,NA,NA,NA,NA,NA,NA,NA
7756,Hsamonghkam,Asia,20.6619444444444,96.64,AS,DA,,1816-1887 | Vassal of | 775,1887-1948 | Protectorate of | 200,1948-1959 | Part of | 775,1959-2022 | Part of | 775,NA,NA,NA,NA,NA,NA,NA
7794,Hsawnghsup,Asia,24.4333333333,94.7,AS,DA,,1816-1887 | Vassal of | 775,1887-1948 | Protectorate of | 200,1948-1959 | Part of | 775,1959-2022 | Part of | 775,NA,NA,NA,NA,NA,NA,NA
7750,Hsenwi,Asia,22.9333,97.75,AS,DA,,1816-1888 | Vassal of | 775,1888-1888 | Dissolved into | 7753,1888-1888 | Dissolved into | 7754,NA,NA,NA,NA,NA,NA,NA,NA
7751,Hsipaw,Asia,27.6167,97.2833,AS,DA,,1816-1887 | Vassal of | 775,1887-1948 | Protectorate of | 200,1948-1959 | Part of | 775,1959-2022 | Part of | 775,NA,NA,NA,NA,NA,NA,NA
310,Hungary,Europe,47,19,WE,,Could be EESU but followed historical reality,1816-1918 | Part of | 300,1918-2022 | Sovereign | NA,1944-1945 | Occupied by | 255,1945-1949 | Occupied by | 365,1956-1957 | Occupied by | 365,NA,NA,NA,NA,NA,NA
7702,Hunza,Asia,36.333,74.666,AS,DA,,1816-1847 | Sovereign (unrecognized) | NA,1847-1891 | Vassal of | 710,1891-1947 | Vassal of | 750,1947-1974 | Vassal of | 770,1974-1974 | Dissolved into | 770,NA,NA,NA,NA,NA,NA
7506,Hyderabad,Asia,17.3616666666667,78.4747222222222,AS,DA,,1816-1948 | Vassal of | 750,1948-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA,NA
4769,Ibadan,Africa,7.3775,3.9058333333333,AF,,,1829-1893 | Sovereign (unrecognized) | NA,1893-1914 | Part of | 4781,1914-2022 | Part of | 475,NA,NA,NA,NA,NA,NA,NA,NA
395,Iceland,Europe,65,-19,WE,,,1816-1918 | Colony of | 390,1918-1944 | Sovereign (unrecognized) | NA,1940-1941 | Occupied by | 200,1941-1944 | Occupied by | 2,1944-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA
7553,Idar,Asia,23.83,73,AS,DA,,1816-1947 | Vassal of | 750,1947-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA,NA
4742,Igala,Africa,NA,NA,AF,,,1816-1901 | Sovereign (unrecognized) | NA,1901-1914 | Part of | 4784,1914-2022 | Part of | 475,NA,NA,NA,NA,NA,NA,NA,NA
4773,Ijebu,Africa,NA,NA,AF,,,1816-1893 | Sovereign (unrecognized) | NA,1893-1914 | Part of | 4783,1914-2022 | Part of | 475,NA,NA,NA,NA,NA,NA,NA,NA
2333,Ile des Faisans,Europe,43.342778,-1.7655,WE,,,1816-2022 | Neutral or demilitarized zone of | 220,1816-2022 | Neutral or demilitarized zone of | 230,NA,NA,NA,NA,NA,NA,NA,NA,NA
750,India,Asia,22.8,83,AS,DA,,1816-1857 | Colony of | 200,1857-1947 | Colony of | 200,1947-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA,NA
850,Indonesia (Dutch East Indies),Asia,-2,118,AS,DA,,1816-1816 | Occupied by | 200,1816-1942 | Colony of | 210,1942-1945 | Occupied by | 740,1945-1949 | Sovereign (unrecognized) | NA,1949-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA
3762,"Ingushetia, Republic of",Europe,43.2,45,EESU,,,1816-1917 | Colony of | 365,1917-1921 | Part of | 3377,1921-1934 | Part of | 365,1934-1991 | Part of | 376,1991-2022 | Part of | 365,NA,NA,NA,NA,NA,NA
3349,Ionian Is.,Europe,37.8,20.7,WE,,,1816-1864 | Protectorate of | 200,1864-1941 | Part of | 350,1941-1943 | Occupied by | 325,1943-1944 | Occupied by | 255,1944-2022 | Part of | 350,NA,NA,NA,NA,NA,NA
630,Iran (Persia),Asia,32,53,ME,,,1816-1855 | Sovereign (unrecognized) | NA,1855-2022 | Sovereign | NA,1911-1919 | Occupied by | 200,1911-1917 | Occupied by | 365,1941-1945 | Occupied by | 200,NA,NA,NA,NA,NA,NA
645,Iraq (Mesopotamia),Asia,33,43,ME,,"Ottoman Empire for the large part, so WE?",1816-1917 | Part of | 640,1917-1921 | Occupied by | 200,1921-1932 | Mandated to | 200,1932-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA
205,Ireland,Europe,53,-8,WE,UK,,1816-1922 | Part of | 200,1922-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,Isle of Man,Europe,54.235,-4.525,WE,UK,,1816-2022 | Dependency of | 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,Israel,Asia,,,ME,,,1948-2022 | Sovereign | NA,,,,,,,,,,
5201,Italian East Africa,Africa,9.04666666666667,38.7577777777778,AF,,,1936-1941 | Colony of | 325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5200,Italian Somaliland,Africa,2.29889,45.7989,AF,,,1889-1905 | Protectorate of | 325,1905-1936 | Colony of | 325,1936-1941 | Part of | 5201,1941-1950 | Occupied by | 200,1950-1960 | Mandated to | 325,1960-2022 | Part of | 520,NA,NA,NA,NA,NA
325,Italy,Europe,42.5,12.5,WE,,,1816-1861 | Informal | NA,1861-2022 | Sovereign | NA,1943-1946 | Occupied by | 2,1943-1945 | Occupied by | 255,NA,NA,NA,NA,NA,NA,NA
437,Ivory Coast,Africa,8,-6,AF,,,1816-1843 | Part of | 4371,1816-1843 | Part of | 4372,1816-1843 | Part of | 4373,1843-1893 | Protectorate of | 220,1893-1904 | Colony of | 220,1904-1958 | Part of | 430,1958-1960 | Associated state of | 220,1960-2022 | Sovereign | NA,NA,NA,NA
674,Jabal Shammar,Asia,27.516667,41.683333,ME,,,1836-1921 | Vassal of | 640,1921-2022 | Part of | 670,NA,NA,NA,NA,NA,NA,NA,NA,NA
7512,Jaipur,Asia,26.985,75.85,AS,DA,,1816-1818 | Sovereign (unrecognized) | NA,1818-1947 | Vassal of | 750,1947-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA
7517,Jaisalmer,Asia,26.92,70.9,AS,DA,,1816-1818 | Sovereign (unrecognized) | NA,1818-1947 | Vassal of | 750,1947-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA
51,Jamaica,America,18.18,-77.4,LA,,,1816-1958 | Colony of | 200,1958-1962 | Part of | 50,1962-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA,NA
8536,Jambi,Asia,-1.59,103.61,AS,DA,,1816-1904 | Sovereign (unrecognized) | NA,1904-1904 | Dissolved into | 850,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,Japan,Asia,35,136,AS,JA,,1816-1860 | Sovereign (unrecognized) | NA,1860-1945 | Sovereign | NA,1945-1952 | Occupied by | 2,1952-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA
5307,"Jijega, Reserve Areas and Haud",Africa,9.35,42.8,AF,,,1816-1887 | Vassal of | 5306,1887-1942 | Part of | 530,1942-1954 | Occupied by | 200,1954-2022 | Part of | 530,NA,NA,NA,NA,NA,NA,NA
5322,Jimma-Kakka (Jimma Abba Jifar),Africa,7.666667,36.833333,AF,,,1830-1884 | Sovereign (unrecognized) | NA,1884-1932 | Vassal of | 530,1932-2022 | Part of | 530,NA,NA,NA,NA,NA,NA,NA,NA
7136,Jiujiang,Asia,29.70475,116.00206,AS,DA,,1816-1861 | Part of | 710,1861-1929 | Leased to | 200,1929-2022 | Part of | 710,NA,NA,NA,NA,NA,NA,NA,NA
7516,Jodhpur,Asia,26.4667,73.0333,AS,DA,,1816-1818 | Sovereign (unrecognized) | NA,1818-1947 | Vassal of | 750,1947-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA
8221,Johore,Asia,1.4872222222222,103.78111111111,AS,DA,,1816-1914 | Sovereign (unrecognized) | NA,1914-1942 | Protectorate of | 200,1942-1945 | Occupied by | 740,1945-1946 | Colony of | 200,1946-2022 | Part of | 820,NA,NA,NA,NA,NA,NA
663,Jordan (Transjordan),Asia,,,ME,,"Ottoman Empire for the large part, so WE?",1816-1918 | Part of | 640,1918-1923 | Occupied by | 200,1923-1946 | Mandated to | 200,1946-2022 | Sovereign | NA,,,,,,,
5807,Juan de Nova I.,Africa,,,AF,,,,,,,,,,,,,
7570,Junagadh,Asia,21.52,70.47,AS,DA,,1816-1948 | Vassal of | 750,1948-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA,NA
4325,Kaarta,Africa,NA,NA,AF,,,1816-1854 | Sovereign (unrecognized) | NA,1854-1890 | Part of | 4321,1890-1904 | Occupied by | 220,1904-2022 | Part of | 432,NA,NA,NA,NA,NA,NA,NA
5309,Kaffa,Africa,7.27,36.24,AF,,,1816-1897 | Sovereign (unrecognized) | NA,1897-2022 | Part of | 530,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,Kamerun,Africa,4.0369,9.6858,AF,,,1884-1916 | Colony of | 255,1916-1922 | Occupied by | 200,1916-1922 | Occupied by | 220,1922-1960 | Part of | 471,1922-1961 | Part of | 472,NA,NA,NA,NA,NA,NA
