year,resolution,modularity,cafFob,nb_communities
1848,2.1999999999999997,0.5568225564265273,fob,13
1848,2.4,0.5570460925921661,fob,15
1848,2.6,0.5570460925921661,fob,15
1848,2.8000000000000003,0.5458987442812071,fob,15
1848,3.0000000000000004,0.5388234480151478,fob,16
1848,3.2000000000000006,0.5302437209162829,fob,17
1848,3.400000000000001,0.5302872784333917,fob,17
1848,3.600000000000001,0.5304166635798713,fob,17
1848,3.800000000000001,0.5291832716530582,fob,17
1849,0.2,0.16951763262205854,caf,2
1849,0.4,0.5799293542857579,caf,5
1849,0.6000000000000001,0.6166492599002462,caf,7
1849,0.8,0.6263436901217044,caf,8
1849,1,0.6264824747292193,caf,9
1849,1.2,0.6263807565918719,caf,10
1849,1.4,0.6244584536214319,caf,11
1849,1.5999999999999999,0.6240050396704672,caf,11
1849,1.7999999999999998,0.6204536409373196,caf,12
1849,1.9999999999999998,0.6199849540002514,caf,12
1849,2.1999999999999997,0.6199849540002514,caf,12
1849,2.4,0.6130538578697617,caf,13
1849,2.6,0.6026572514171382,caf,14
1849,2.8000000000000003,0.6025885821149155,caf,14
1849,3.0000000000000004,0.6026572514171382,caf,14
1849,3.2000000000000006,0.6026572514171382,caf,14
1849,3.400000000000001,0.6026572514171382,caf,14
1849,3.600000000000001,0.5909301371546224,caf,16
1849,3.800000000000001,0.5922670014601841,caf,16
1849,0.2,0.16951763262205854,fob,2
1849,0.4,0.5941227345903544,fob,5
1849,0.6000000000000001,0.6166492599002462,fob,7
1849,0.8,0.6252472043655332,fob,8
1849,1,0.6269945178036822,fob,9
1849,1.2,0.6263807565918719,fob,10
1849,1.4,0.6276581736315018,fob,10
1849,1.5999999999999999,0.6251013489906714,fob,11
1849,1.7999999999999998,0.6204536409373196,fob,12
1849,1.9999999999999998,0.6199162846980287,fob,12
1849,2.1999999999999997,0.6199162846980287,fob,12
1849,2.4,0.6131225271719845,fob,13
1849,2.6,0.6025885821149155,fob,14
1849,2.8000000000000003,0.6026572514171382,fob,14
1849,3.0000000000000004,0.6026572514171382,fob,14
1849,3.2000000000000006,0.6018917676098238,fob,15
1849,3.400000000000001,0.6005549033042621,fob,15
1849,3.600000000000001,0.5909301371546224,fob,16
1849,3.800000000000001,0.5922670014601841,fob,16
1850,0.2,0.19933490834544162,caf,2
1850,0.4,0.5262708580242154,caf,4
1850,0.6000000000000001,0.569888182979753,caf,5
1850,0.8,0.5884018179926733,caf,7
1850,1,0.5894878934517847,caf,8
1850,1.2,0.587005120444788,caf,9
1850,1.4,0.5789880594000956,caf,11
1850,1.5999999999999999,0.5738853540186472,caf,12
1850,1.7999999999999998,0.5700813444421452,caf,13
1850,1.9999999999999998,0.5700813444421452,caf,13
1850,2.1999999999999997,0.5633226700148352,caf,14
1850,2.4,0.5633226700148352,caf,14
1850,2.6,0.5582492213443836,caf,15
1850,2.8000000000000003,0.546028171839415,caf,16
1850,3.0000000000000004,0.546028171839415,caf,16
1850,3.2000000000000006,0.546028171839415,caf,16
1850,3.400000000000001,0.546028171839415,caf,16
1850,3.600000000000001,0.5431071213033762,caf,17
1850,3.800000000000001,0.5367522901908945,caf,18
1850,0.2,0.19933490834544162,fob,2
1850,0.4,0.5262708580242154,fob,4
1850,0.6000000000000001,0.569888182979753,fob,5
1850,0.8,0.5884018179926733,fob,7
1850,1,0.5894878934517847,fob,8
1850,1.2,0.587005120444788,fob,9
1850,1.4,0.5789880594000956,fob,11
1850,1.5999999999999999,0.5738853540186472,fob,12
1850,1.7999999999999998,0.5700813444421452,fob,13
1850,1.9999999999999998,0.5700813444421452,fob,13
1850,2.1999999999999997,0.5676734257141776,fob,13
1850,2.4,0.5633226700148352,fob,14
1850,2.6,0.546028171839415,fob,16
1850,2.8000000000000003,0.546028171839415,fob,16
1850,3.0000000000000004,0.546028171839415,fob,16
1850,3.2000000000000006,0.546028171839415,fob,16
1850,3.400000000000001,0.546028171839415,fob,16
1850,3.600000000000001,0.5431071213033762,fob,17
1850,3.800000000000001,0.5367522901908945,fob,18
1851,0.4,0.486768376461373,caf,4
