key,target,source,meme_intramax,meme_louvain,meme_AN,year,distance_km,conttype,contig_terre,contig_24mi,contig_large,mid_n,mid_hihost,mid_guerre,mid_duration,atop_allie,atop_defense,atop_offense,atop_neutral,atop_nonagg,atop_consul,atop_asymm
"10-5651","Greenland","Walvis Bay",0,"0","0",1883,"11339.6429187189","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-580","Greenland","Madagascar (Malagasy Republic)",0,"0","0",1883,"12029.6561378382","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-585","Greenland","Reunion (Bourbon I.)",0,"0","0",1883,"12438.8256240975","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-590","Greenland","Mauritius",0,"0","0",1883,"12410.4151153819","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-6","Greenland","Puerto Rico",0,"0","0",1883,"6224.01720932503","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-600","Greenland","Morocco",0,"0","0",1883,"4880.56906908369","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-6067","Captaincy-general of north Africa","Greenland",0,"0","0",1883,"4478.8510891537","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-615","Algeria (Regency of Algiers)","Greenland",0,"0","0",1883,"5485.40091153411","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-616","Greenland","Tunisia (Regency of Tunis)",0,"0","0",1883,"5104.36775959695","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-630","Greenland","Iran (Persia)",1,"1","0",1883,"6750.61494853056","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-640","Greenland","Turkey (Ottoman Empire)",0,"0","0",1883,"5449.93705158773","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-65","Greenland","Guadeloupe",0,"0","0",1883,"6363.85734726257","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-651","Egypt Arab Republic (Egypt)","Greenland",0,"0","0",1883,"6452.59614479645","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-66","Greenland","Martinique",0,"0","0",1883,"6533.69945756141","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-68","Greenland","Netherlands Antilles",0,"0","0",1883,"6572.3712418169","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-681","Aden","Greenland",0,"0","0",1883,"8493.96822901667","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-698","Greenland","Oman (Sultanate of Muscat and Oman)",0,"0","0",1883,"8037.43797676787","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-70","Greenland","Mexico",0,"0","0",1883,"6641.17982286082","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-710","Greenland","People's Republic of China (China)",0,"0","0",1883,"7699.29217182886","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-720","Greenland","Hong Kong",0,"0","0",1883,"9359.38571027596","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-730","Greenland","Korea (Chosen)",0,"0","0",1883,"7796.43021621227","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-740","Greenland","Japan",0,"0","0",1883,"8122.20985756599","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-750","Greenland","India",0,"0","0",1883,"8647.13010935455","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-751","French India","Greenland",0,"0","0",1883,"9722.61366513366","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-752","Greenland","Portuguese India",0,"0","0",1883,"11356.9668318746","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-775","Greenland","Myanmar (Burma)",0,"0","0",1883,"9057.31245705744","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-780","Greenland","Sri Lanka (Ceylon)",0,"0","0",1883,"10287.1269050685","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-781","Greenland","Maldive Islands",0,"0","0",1883,"10444.0465659723","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-80","Belize (British Honduras)","Greenland",0,"0","0",1883,"6868.39544792115","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-800","Greenland","Thailand (Siam)",0,"0","0",1883,"10037.482919817","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-8231","Greenland","Labuan I.",0,"0","0",1883,"11247.8545524034","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-824","Greenland","Sarawak",0,"0","0",1883,"11522.5133894648","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-827","Greenland","Straits Settlements",0,"0","0",1883,"11476.770788672","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-840","Greenland","Philippines",0,"0","0",1883,"10602.0243487381","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-850","Greenland","Indonesia (Dutch East Indies)",0,"0","0",1883,"12093.1539478239","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-90","Greenland","Guatemala",0,"0","0",1883,"7080.3852596409","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-9002","Cocos (Keeling) Is.","Greenland",0,"0","0",1883,"12784.9469957414","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-901","Greenland","New South Wales",0,"0","0",1883,"15565.3811549212","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-902","Greenland","Western Australia",0,"0","0",1883,"14783.9694909287","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-903","Greenland","South Australia",0,"0","0",1883,"15352.3909148383","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-904","Greenland","Victoria",0,"0","0",1883,"16117.4544802726","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-905","Greenland","Queensland",0,"0","0",1883,"14245.6744033393","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-906","Greenland","Tasmania",0,"0","0",1883,"16676.1525806823","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-91","Greenland","Honduras",0,"0","0",1883,"7078.18243672844","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-912","Greenland","New Guinea (German New Guinea) (Kaiser Wilhelmsland)",0,"0","0",1883,"12570.987874245","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
