id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
365->Hanse Towns,1841,Hanse Towns,Hanse Towns,RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,364901.7668990112,365,,364901.7668990112,,246|248|276,,split_failed_no_ratio,
365->390,1841,390,Denmark,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,249816.66396498625,365,,,,,,ok,
365->210,1841,210,Netherlands,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,805895.9312692495,365,,,,,,ok,
365->211,1841,211,Belgium,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,176637.2183498136,365,,,,,,ok,
365->200,1841,200,United Kingdom,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,5487083.806127411,365,,,,,,ok,
365->220,1841,220,France,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,961489.7065975037,365,,,,,,ok,
365->Portugal & Spain,1841,Portugal & Spain,Portugal & Spain,RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,98148.1601556168,365,,,,,,ignore_resolved,
365->325,1841,325,Italy,GPH,365,Russia (USSR),GPH-AUTONOMOUS-CITED,467013.77857027075,365,,467013.77857027075,,324|329|335|337,,split_failed_no_ratio,
365->300,1841,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,547719.5655697845,365,,,,,,ok,
365->European Turkey,1841,European Turkey,European Turkey,RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,712115.739990274,365,,,,,,ignore_resolved,
365->Asian Turkey,1841,Asian Turkey,Asian Turkey,RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,73060.78781001783,365,,,,,,ignore_resolved,
365->America,1841,America,America,RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,390512.8870157238,365,,390512.8870157238,,2|3|5|6|7|10|20|21|30|31|40|41|42|51|54|65|66|68|70|80|89|90|91|92|93|94|100|101|110|120|130|135|140|145|150|155|160|165|1016|1019|1020|1022|1023|1024|1025|1026|1029|1032|1048|1055|1058|1063|1064|1071|1072|1094|1105|1106|1111|1163|1164|10200|10210|restOfTheWorld,,split_failed_no_ratio,
365->375,1841,375,Finland,GPH,365,Russia (USSR),GPH-AUTONOMOUS-CITED,218705.13859620685,365,,,,,,ignore_resolved,
