id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,valueGeneratedBy,notes
Bengal<-140 714.7425647585545
From a flow part-of reporter Bengal to/from 140"
750<-401,1835,750,India,GPH-AUTONOMOUS-CITED,401,Madeira Isles,GPH,2925.807483210745,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Bengal|Sadras|830|8271|7566|7503|8272|7695,,,,,ignore_resolved,aggregation,"Mumbai (Bombay)<-401 2925.807483210745
From a flow part-of reporter Mumbai (Bombay) to/from 401"
750<-752,1835,750,India,GPH-AUTONOMOUS-CITED,752,Portuguese India,GPH-AUTONOMOUS-CITED,35648.11853746935,750, unexpected: 752,,,,,ok,aggregation,"Mumbai (Bombay)<-752 35078.3498560921
From a flow part-of reporter Mumbai (Bombay) to/from 752
750<-7591 569.7686813772518"
750<-Eastern Asia (other) & Penang,1835,750,India,GPH-AUTONOMOUS-CITED,Eastern Asia (other) & Penang,Eastern Asia (other) & Penang,RIC,224759.40731265323,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Sadras|830|8271|7566|7503|8272|7695,224759.40731265323,,365|710|721|730|740|775|800|811|815|835|840|850|860|8002|8201|8202|8203|8210|8221|8223|8401|8501|8510|8531|8532|8560,,split_failed_no_ratio,aggregation,"Mumbai (Bombay)<-Eastern Asia (other) & Penang 86612.94105106065
From a flow part-of reporter Mumbai (Bombay) to/from Eastern Asia (other) & Penang
Bengal<-Eastern Asia (other) & Penang 138146.46626159258
From a flow part-of reporter Bengal to/from Eastern Asia (other) & Penang
gravity results to be aggregated for partners: 710|775|840|850"
750<-Kutch & Sindh,1835,750,India,GPH-AUTONOMOUS-CITED,Kutch & Sindh,Kutch & Sindh,RIC,84912.58927619657,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Bengal|Sadras|830|8271|7566|7503|8272|7695,,,,,ignore_resolved,aggregation,"Mumbai (Bombay)<-Kutch & Sindh 84912.58927619657
From a flow part-of reporter Mumbai (Bombay) to/from Kutch & Sindh"
750<-Africa Coast,1835,750,India,GPH-AUTONOMOUS-CITED,Africa Coast,Africa Coast,RIC,58735.84905660377,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Bengal|Sadras|830|8271|7566|7503|8272|7695,46709.186164728846,,411|433|450|451|520|530|540|541|600|615|616|651|4041|4042|4044|4341|4348|4381|4521|4535|4781|4792|4793|4842|5012|5332|5403|5621|6062|6064|6203,,split_only_partial,aggregation,"Mumbai (Bombay)<-Africa Coast 58735.84905660377
From a flow part-of reporter Mumbai (Bombay) to/from Africa Coast"
750<-Sydney,1835,750,India,GPH-AUTONOMOUS-CITED,Sydney,Sydney,RIC,105.85225455708347,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Bengal|Sadras|830|8271|7566|7503|8272|7695,,,,,ignore_resolved,aggregation,"Mumbai (Bombay)<-Sydney 105.85225455708347
From a flow part-of reporter Mumbai (Bombay) to/from Sydney"
750->140,1835,140,Brazil,GPH-AUTONOMOUS-CITED,750,India,GPH-AUTONOMOUS-CITED,4672.742777955442,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Bengal|Sadras|830|8271|7566|7503|8272|7695,,,,,ok,aggregation,"Mumbai (Bombay)->140 4672.742777955442
From a flow part-of reporter Mumbai (Bombay) to/from 140"
750->Kutch & Sindh,1835,Kutch & Sindh,Kutch & Sindh,RIC,750,India,GPH-AUTONOMOUS-CITED,195582.7736915041,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Bengal|Sadras|830|8271|7566|7503|8272|7695,,,,,ignore_resolved,aggregation,"Mumbai (Bombay)->Kutch & Sindh 195582.7736915041
From a flow part-of reporter Mumbai (Bombay) to/from Kutch & Sindh"
750->Africa Coast,1835,Africa Coast,Africa Coast,RIC,750,India,GPH-AUTONOMOUS-CITED,39296.77006715702,750,missing East India Company|Chennai (Madras)|Kolkata (Calcutta)|Bengal|Sadras|830|8271|7566|7503|8272|7695,37038.92726647226,,411|433|450|451|520|530|540|541|600|615|616|651|4041|4042|4044|4341|4348|4381|4521|4535|4781|4792|4793|4842|5012|5332|5403|5621|6062|6064|6203,,split_only_partial,aggregation,"Mumbai (Bombay)->Africa Coast 39296.77006715702
From a flow part-of reporter Mumbai (Bombay) to/from Africa Coast"
140<-2,1835,140,Brazil,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,610566.8987765057,140,,,,,,ok,aggregation,"Rio de Janeiro<-2 610566.8987765057
