id,year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,newReporter,newPartners,originalReportedTradeFlowId,status,notes
Lisbon->Hanse Towns,1861,Hanse Towns,Hanse Towns,RIC,,,,Lisbon,Lisbon,RIC,1,,,44896.34748272458,Lisbon,,,,,,ignore_duplicate,
Lisbon<-Hanse Towns,1861,Lisbon,Lisbon,RIC,1,,,Hanse Towns,Hanse Towns,RIC,,,,23494.57058242843,Lisbon,,,,,,ignore_duplicate,
230->615,1861,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,209196.7857142857,230,,,,,,ok,
230<-615,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,1,,,31653.70408163265,230,,,,,,ok,
230->300,1861,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,,1,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,3608.9795918367345,230,,,,,,ok,
230<-300,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,,1,,22366.438775510203,230,,,,,,ok,
230->211,1861,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,74934.17346938775,230,,,,,,ok,
230<-211,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,717273.7857142857,230,,,,,,ok,
230->140,1861,140,Brazil,GPH-AUTONOMOUS-CITED,,1,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,154935.2142857143,230,,,,,,ok,
230<-140,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,140,Brazil,GPH-AUTONOMOUS-CITED,,1,,64547.73469387755,230,,,,,,ok,
230->246,1861,246,Bremen,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,26683.469387755104,230,,,,,,ok,
230->Sardinia,1861,Sardinia,Sardinia,RIC,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,215352.6326530612,230,,,,,,ignore_resolved,
230<-Sardinia,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,Sardinia,Sardinia,RIC,,,,142639.0306122449,230,,,,,,ignore_resolved,
230->6062,1861,6062,Ceuta,GPH,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,31540.816326530614,230,,,,,,ignore_resolved,
230<-6062,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,6062,Ceuta,GPH,,,,723.6530612244898,230,,,,,,ignore_resolved,
230<-511,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,511,Zanzibar,GPH-AUTONOMOUS-CITED,,,,40.714285714285715,230,,,,,,ok,
230->390,1861,390,Denmark,GPH-AUTONOMOUS-CITED,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,51319.65306122449,230,,,,,,ok,
230<-390,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,390,Denmark,GPH-AUTONOMOUS-CITED,,,,50177.9081632653,230,,,,,,ok,
230->329,1861,329,Two Sicilies,GPH,,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,19654.622448979593,230,,,,,,ignore_resolved,
230<-329,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,329,Two Sicilies,GPH,,,,9106.326530612245,230,,,,,,ignore_resolved,
