"id","year","importerId","importerLabel","importerType","exporterId","exporterLabel","exporterType","value","reportedBy","partial","valueToSplit","newReporters","newPartners","originalReportedTradeFlowIds","status","notes"
"42->600",1968,"600","Morocco","GPH","42","Dominican Republic (Santo Domingo)","GPH",58577.4058577406,"42",NA,NA,NA,NA,NA,"ok",NA
"2->210",1968,"210","Netherlands","GPH","2","United States of America","GPH",577405857.740586,"2",NA,NA,NA,NA,NA,"ok",NA
"2->720",1968,"720","Hong Kong","GPH","2","United States of America","GPH",127196652.719665,"2",NA,NA,NA,NA,NA,"ok",NA
"512->740",1968,"740","Japan","GPH","512","Tanzania (Tanganyika)","GPH",6485355.64853556,"512",NA,NA,NA,NA,NA,"ok",NA
"2->10",1968,"10","Greenland","GPH","2","United States of America","GPH",418410.041841004,"2",NA,NA,NA,NA,NA,"ok",NA
"2->140",1968,"140","Brazil","GPH","2","United States of America","GPH",294979079.497908,"2",NA,NA,NA,NA,NA,"ok",NA
"2->692",1968,"692","Bahrain","GPH","2","United States of America","GPH",5020920.50209205,"2",NA,NA,NA,NA,NA,"ok",NA
"2->255",1968,"255","Germany (Zollverein)","GPH","2","United States of America","GPH",715062761.506276,"2",NA,NA,NA,NA,NA,"ok",NA
"2->395",1968,"395","Iceland","GPH","2","United States of America","GPH",5439330.54393305,"2",NA,NA,NA,NA,NA,"ok",NA
"2->600",1968,"600","Morocco","GPH","2","United States of America","GPH",29288702.9288703,"2",NA,NA,NA,NA,NA,"ok",NA
"2->91",1968,"91","Honduras","GPH","2","United States of America","GPH",31380753.1380753,"2",NA,NA,NA,NA,NA,"ok",NA
"2->910",1968,"910","Papua New Guinea","GPH","2","United States of America","GPH",1255230.12552301,"2",NA,NA,NA,NA,NA,"ok",NA
"811->230",1968,"230","Spain","GPH","811","Cambodia (Kampuchea)","GPH",167364.016736402,"811",NA,NA,NA,NA,NA,"ok",NA
"850->255",1968,"255","Germany (Zollverein)","GPH","850","Indonesia (Dutch East Indies)","GPH",20083682.0083682,"850",NA,NA,NA,NA,NA,"ok",NA
"540->225",1968,"225","Switzerland","GPH","540","Angola","GPH",585774.058577406,"540",NA,NA,NA,NA,NA,"ok",NA
"433->560",1968,"560","South Africa","GPH","433","Senegal","GPH",376569.037656904,"433",NA,NA,NA,NA,NA,"ok",NA
"540->404",1968,"404","Guinea-Bissau (Portuguese Guinea)","GPH","540","Angola","GPH",209205.020920502,"540",NA,NA,NA,NA,NA,"ok",NA
"540->780",1968,"780","Sri Lanka (Ceylon)","GPH","540","Angola","GPH",41841.0041841004,"540",NA,NA,NA,NA,NA,"ok",NA
