id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
20<-210,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,35410.463192721254,20,,,,,,ok,
20<-211,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,30828.370554177003,20,,,,,,ok,
20<-230,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,48907.775020678244,20,,,,,,ok,
20<-235,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,235,Portugal,GPH-AUTONOMOUS-CITED,7395.988420181968,20,,,,,,ok,
20<-225,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,225,Switzerland,GPH-AUTONOMOUS-CITED,19484.07775020678,20,,,,,,ok,
20<-300,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,3513.8544251447474,20,,,,,,ok,
20<-325,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,95018.19685690654,20,,,,,,ok,
20<-710,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,710,People's Republic of China (China),GPH-AUTONOMOUS-CITED,72568.03143093466,20,,,,,,ok,
20<-740,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,740,Japan,GPH-AUTONOMOUS-CITED,106073.61455748552,20,,,,,,ok,
20<-640,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,2581.2655086848636,20,,,,,,ok,
20<-350,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,350,Greece,GPH-AUTONOMOUS-CITED,5036.186931348221,20,,,,,,ok,
20<-Asia (other),1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,Asia (other),Asia (other),RIC,5513.854425144747,20,,5513.854425144747,,630|670|672|673|674|681|682|690|692|694|696|700|721|730|751|752|760|761|775|781|790|800|811|815|823|824|835|860|6800|6802|6822|6823|6826|6832|6844|6845|6846|6982|7020|7030|7106|7121|7122|7124|7125|7127|7136|7137|7505|7507|7511|7512|7513|7514|7515|7516|7517|7519|7521|7522|7523|7526|7527|7528|7529|7531|7532|7533|7534|7535|7537|7538|7539|7541|7542|7543|7544|7545|7546|7548|7549|7552|7553|7570|7573|7574|7577|7579|7582|7587|7588|7694|7701|7702|7703|7704|7706|7707|7750|7751|7752|7755|7756|7757|7758|7760|7762|7766|7767|7768|7769|7770|7771|7772|7773|7774|7775|7776|7777|7778|7779|7780|7782|7783|7784|7785|7786|7787|7788|7789|7790|7791|7792|7793|7794|7795|7796|7797|7798|8002|8124|8151|8171|8203|8221|8223|8224|8401|8501|8510|8522|8523|8531|8533|8536|8550|8551|8560|8571|8572|8574|restOfTheWorld,,split_failed_no_ratio,
20<-Africa (other),1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,Africa (other),Africa (other),RIC,28261.993382961122,20,,28261.993382961122,,402|403|404|411|432|433|437|450|451|452|481|483|500|511|516|517|520|530|540|541|561|562|563|564|572|580|585|590|600|615|616|698|4050|4051|4060|4070|4114|4321|4328|4331|4332|4333|4335|4336|4337|4341|4342|4343|4344|4345|4347|4348|4349|4352|4354|4361|4362|4381|4382|4383|4391|4392|4393|4394|4395|4396|4397|4515|4521|4526|4531|4711|4737|4741|4742|4744|4746|4751|4763|4769|4773|4776|4784|4791|4792|4793|4794|4795|4821|4822|4831|4832|4841|4842|4901|4902|4904|4905|4908|4910|5001|5002|5003|5018|5102|5104|5203|5204|5212|5221|5222|5306|5307|5309|5321|5322|5323|5324|5331|5332|5403|5511|5512|5513|5516|5517|5522|5606|5611|5621|5651|5796|5801|5803|5811|5813|5814|5901|5902|5903|6066|6067|6251|restOfTheWorld,,split_failed_no_ratio,
20<-101,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,101,Venezuela,GPH-AUTONOMOUS-CITED,2715.674110835401,20,,,,,,ok,
20<-135,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,135,Peru,GPH-AUTONOMOUS-CITED,2362.6964433416047,20,,,,,,ok,
20<-140,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,140,Brazil,GPH-AUTONOMOUS-CITED,30485.938792390403,20,,,,,,ok,
20<-British West Indies,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,British West Indies,British West Indies,RIC,249963.19272125722,20,,249803.10173031883,,31|51|1048|1053|1054|1055|1063,,split_only_partial,
20<-Spanish West Indies,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,Spanish West Indies,Spanish West Indies,RIC,353900.33085194376,20,,353900.33085194376,,6|40,,split_failed_no_ratio,
20<-French West Indies,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,French West Indies,French West Indies,RIC,1837.0554177005788,20,,1837.0554177005788,,65|66,,split_failed_no_ratio,
