id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
40<-200,1917,40,Cuba,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,3159813.6660002097,40,,,,,,ok,
40<-380,1917,40,Cuba,GPH-AUTONOMOUS-CITED,380,Sweden,GPH-AUTONOMOUS-CITED,30494.623479152495,40,,,,,,ok,
40<-225,1917,40,Cuba,GPH-AUTONOMOUS-CITED,225,Switzerland,GPH-AUTONOMOUS-CITED,76768.86816684579,40,,,,,,ok,
40<-640,1917,40,Cuba,GPH-AUTONOMOUS-CITED,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,8.013923678678648,40,,,,,,ok,
40<-Arabia,1917,40,Cuba,GPH-AUTONOMOUS-CITED,Arabia,Arabia,RIC,17.260758692538626,40,,17.260758692538626,,670|671|681|682|690|692|696|698|6800|6802|6982,,split_failed_no_ratio,
40<-410,1917,40,Cuba,GPH-AUTONOMOUS-CITED,410,Canary Is.,GPH,87509.16977805541,40,,,,,,ignore_resolved,
40<-710,1917,40,Cuba,GPH-AUTONOMOUS-CITED,710,People's Republic of China (China),GPH-AUTONOMOUS-CITED,413391.6774375171,40,,,,,,ok,
40<-British China,1917,40,Cuba,GPH-AUTONOMOUS-CITED,British China,British China,RIC,1592.9214450542788,40,,,,,,split_failed_error,
40<-Russian China,1917,40,Cuba,GPH-AUTONOMOUS-CITED,Russian China,Russian China,RIC,5126.856302129032,40,,,,,,split_failed_error,
40<-7110,1917,40,Cuba,GPH-AUTONOMOUS-CITED,7110,Kwanchowan,GPH-AUTONOMOUS-CITED,1.8493670027719957,40,,,,,,ok,
40<-750,1917,40,Cuba,GPH-AUTONOMOUS-CITED,750,India,GPH-AUTONOMOUS-CITED,592611.1623682582,40,,,,,,ok,
40<-740,1917,40,Cuba,GPH-AUTONOMOUS-CITED,740,Japan,GPH-AUTONOMOUS-CITED,253217.795842212,40,,,,,,ok,
40<-800,1917,40,Cuba,GPH-AUTONOMOUS-CITED,800,Thailand (Siam),GPH-AUTONOMOUS-CITED,178843.65245873344,40,,,,,,ok,
40<-Africa (other),1917,40,Cuba,GPH-AUTONOMOUS-CITED,Africa (other),Africa (other),RIC,3.6987340055439915,40,,3.6987340055439915,,402|403|404|435|436|450|451|460|470|490|500|501|510|511|512|515|521|530|531|540|541|551|552|553|565|571|572|600|602|609|616|625|4051|4060|4070|4349|4521|5109|5200|5322|5332|5403|5411|5606|5805|5806|5807|5808|5901|5902|5903|6202|6203|6204,,split_failed_no_ratio,
40<-Asia (other),1917,40,Cuba,GPH-AUTONOMOUS-CITED,Asia (other),Asia (other),RIC,19568.152256330486,40,,19568.152256330486,,630|645|672|674|694|700|712|713|720|721|730|751|752|760|761|780|781|790|810|811|812|821|823|824|827|835|840|850|860|6523|6821|6837|6964|6968|7020|7021|7030|7104|7105|7106|7111|7120|7121|7122|7123|7124|7125|7126|7127|7128|7129|7130|7131|7133|7136|7137|7220|7351|7352|7360|7505|7507|7511|7512|7513|7514|7515|7516|7517|7519|7521|7522|7523|7526|7527|7528|7529|7531|7532|7533|7534|7535|7537|7538|7539|7541|7542|7543|7544|7545|7546|7548|7549|7552|7553|7570|7573|7574|7577|7579|7582|7587|7588|7694|7701|7702|7703|7704|7705|7706|7707|7751|7752|7753|7754|7756|7757|7758|7760|7761|7762|7763|7764|7766|7767|7768|7769|7770|7771|7772|7773|7774|7775|7776|7777|7778|7779|7780|7781|7782|7783|7784|7785|7786|7787|7789|7790|7791|7792|7793|7794|7795|7796|7797|7798|7799|7910|8151|8152|8153|8171|8218|8221|8222|8223|8224|8225|8533|8550|8551|restOfTheWorld,,split_failed_no_ratio,
40<-651,1917,40,Cuba,GPH-AUTONOMOUS-CITED,651,Egypt Arab Republic (Egypt),GPH-AUTONOMOUS-CITED,505.2881622018153,40,,,,,,ok,
40->2,1917,2,United States of America,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,52901487.91849634,40,,,,,,ok,
40->5,1917,5,Virgin Islands (Danish West Indies),GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,223.9788925579417,40,,,,,,ok,
40->French West Indies,1917,French West Indies,French West Indies,RIC,40,Cuba,GPH-AUTONOMOUS-CITED,147.33290455416898,40,,147.33290455416898,,65|66,,split_failed_no_ratio,
40->68,1917,68,Netherlands Antilles,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,10680.710896675866,40,,,,,,ok,
