id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
385->Russia (Baltic Sea),1890,Russia (Baltic Sea),Russia (Baltic Sea),RIC,385,Norway,GPH-AUTONOMOUS-CITED,67349.40863677885,385,,,,,,ignore_resolved,
385->248,1890,248,Hamburg,GPH,385,Norway,GPH-AUTONOMOUS-CITED,608037.0404338646,385,,,,,,ignore_resolved,
385->Germany (Zollverein) (other),1890,Germany (Zollverein) (other),Germany (Zollverein) (other),RIC,385,Norway,GPH-AUTONOMOUS-CITED,394640.1393607677,385,,,,,,ignore_resolved,
385->210,1890,210,Netherlands,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,342336.11442255863,385,,,,,,ok,
385->211,1890,211,Belgium,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,293134.6841483325,385,,,,,,ok,
385->200,1890,200,United Kingdom,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,2324195.4708028315,385,,,,,,ok,
385->220,1890,220,France,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,389887.2283861555,385,,,,,,ok,
385->Madeira Isles & Portugal,1890,Madeira Isles & Portugal,Madeira Isles & Portugal,RIC,385,Norway,GPH-AUTONOMOUS-CITED,74885.85312198567,385,,,,,,ignore_resolved,
385->230,1890,230,Spain,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,658701.7511701819,385,,,,,,ok,
385->325,1890,325,Italy,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,240495.09489362885,385,,,,,,ok,
385->300,1890,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,4824.424681406114,385,,,,,,ok,
385->615,1890,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,3075.089392139131,385,,,,,,ok,
385->Northern Africa (other),1890,Northern Africa (other),Northern Africa (other),RIC,385,Norway,GPH-AUTONOMOUS-CITED,3471.1653066901463,385,,3471.1653066901463,,600|616|625|651|6067|6090,,split_failed_no_ratio,
385->Africa (other),1890,Africa (other),Africa (other),RIC,385,Norway,GPH-AUTONOMOUS-CITED,21762.171082830773,385,,,,,,split_failed_error,
385->Asia (other) & East Indies & People's Republic of China (China),1890,Asia (other) & East Indies & People's Republic of China (China),Asia (other) & East Indies & People's Republic of China (China),RIC,385,Norway,GPH-AUTONOMOUS-CITED,38.50738058134869,385,,38.50738058134869,,630|670|672|673|674|681|682|690|692|694|696|700|710|720|721|730|740|750|751|752|760|761|780|781|790|800|810|811|823|824|827|835|840|850|860|6800|6802|6823|6826|6837|6968|6982|7020|7030|7106|7121|7122|7124|7125|7127|7136|7137|7506|7508|7511|7512|7513|7514|7515|7516|7517|7519|7521|7522|7523|7526|7527|7528|7529|7531|7532|7533|7534|7535|7537|7538|7539|7541|7542|7543|7544|7545|7546|7548|7549|7552|7553|7570|7573|7574|7577|7579|7582|7587|7588|7694|7701|7702|7703|7704|7706|7707|7751|7752|7753|7754|7756|7757|7758|7760|7761|7762|7763|7764|7766|7767|7768|7769|7770|7771|7772|7773|7774|7775|7776|7777|7778|7779|7780|7781|7782|7783|7784|7785|7786|7787|7789|7790|7791|7792|7793|7794|7795|7796|7797|7798|7799|8002|8124|8151|8152|8153|8171|8201|8202|8203|8210|8218|8221|8223|8224|8401|8501|8510|8531|8533|8536|8550|8551|8560|8571|8572|8574,,split_failed_no_ratio,
385->900,1890,900,Australia,GPH,385,Norway,GPH-AUTONOMOUS-CITED,165999.81663182544,385,,165999.81663182544,,901|902|903|904|905|906,,ignore_resolved,
385->2,1890,2,United States of America,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,115203.08059065776,385,,,,,,ok,
385->West Indies,1890,West Indies,West Indies,RIC,385,Norway,GPH-AUTONOMOUS-CITED,1309.2509397658555,385,,1309.2509397658555,,5|6|30|31|40|41|42|51|52|53|65|66|68|1032|1033|1044|1055|1063|1081|1087,,split_failed_no_ratio,
385->140,1890,140,Brazil,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,2954.066196026321,385,,,,,,ok,
385->160,1890,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,7734.482442482323,385,,,,,,ok,
561<-200,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,6944022,561,,,,,,ok,
561<-901,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,901,New South Wales,GPH-AUTONOMOUS-CITED,1124,561,,,,,,ok,
561<-920,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,10849,561,,,,,,ok,
561<-903,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,903,South Australia,GPH-AUTONOMOUS-CITED,200904,561,,,,,,ok,
561<-904,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,904,Victoria,GPH-AUTONOMOUS-CITED,2352,561,,,,,,ok,
561<-720,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,720,Hong Kong,GPH-AUTONOMOUS-CITED,9902,561,,,,,,ok,
561<-Bengal,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,Bengal,Bengal,RIC,91198,561,,,,,,ignore_resolved,
561<-Mumbai (Bombay) & Sindh,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,Mumbai (Bombay) & Sindh,Mumbai (Bombay) & Sindh,RIC,15,561,,,,,,ignore_resolved,
561<-775,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,775,Myanmar (Burma),GPH,1927,561,,,,,,ignore_resolved,
561<-590,1890,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,590,Mauritius,GPH-AUTONOMOUS-CITED,224446,561,,,,,,ok,
