"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"620","710","620-710",0.0431596598187686,"0.00001010157926996772",0,1,0,"bridge",1.01015792699677e-05,1,1,"People's Republic of China (China)","Sovereign",3,0.4172,1,NA,"Libya","Colony of",6,0.394444444444444,40043.4696840128,NA
"625","200","200-625",1.36013743648757,"0.00024306446084865858",0,1,0,"bridge",0.000243064460848659,1,1,"United Kingdom","Sovereign",0,0.0483783783783784,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,963527,NA
"625","352","352-625",2.02576013716146,"0.0000012477043438922473",0.15,0.85,0.51,"bridge",1.24770434389225e-06,1,1,"Cyprus","Colony of",6,0.219285714285714,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,4946,NA
"625","560","560-625",3.3830903847187,"0.00001154492302835194|0.000531270794225045",0,1,0,"bridge",0.000531270794225045,1,1,"South Africa","Sovereign",0,0.0864705882352941,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,45765,2106000
"625","645","625-645",1.93252410135545,"0.000002492633769106206",0.9,0.1,0.36,"2",2.49263376910621e-06,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,9881,NA
"625","681","625-681",3.51037212276043,"0.000013311461556493131",0.85,0.15,0.51,"2",1.33114615564931e-05,1,1,"Aden","Dependency of",2,0.311785714285714,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,52767.7002814866,NA
"625","710","625-710",0.033197816355346,"0.000006635587355790876",0.15,0.85,0.51,"bridge",6.63558735579088e-06,1,1,"People's Republic of China (China)","Sovereign",3,0.4172,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,26304,NA
"625","740","625-740",2.19507743962486,"0.00019262473637936462|0.000016901777404120617",0.55,0.45,0.99,"1",0.000192624736379365,1,1,"Japan","Sovereign",1,0.411052631578948,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,763579.890377151,67000
"625","750","625-750",1.3616316039519,"0.000045912944979454296|0.00010115839909033384",0.7,0.3,0.84,"2",0.000101158399090334,1,1,"India","Colony of",2,0.465609756097561,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,182002.592986077,401000
"625","780","625-780",1.36590583370743,"0.000010023119328616133",0.45,0.55,0.99,"bridge",1.00231193286161e-05,1,1,"Sri Lanka (Ceylon)","Colony of",3,0.375652173913044,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,39732.4481893578,NA
"625","850","625-850",1.35224649838032,"0.00003390950624868498",0.5,0.5,1,"bridge",3.3909506248685e-05,1,1,"Indonesia (Dutch East Indies)","Colony of",3,0.497826086956522,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,134420,NA
"625","900","625-900",0.0884747582400993,"0.000022145869175417026",0,1,0,"bridge",2.2145869175417e-05,1,1,"Australia","Sovereign",5,0.114375,1,1,"Sudan (Anglo-Egyptian Sudan) (Mahdist State)","Protectorate of",2,0.448666666666667,87788,NA
"630","200","200-630",0.938486534171061,"0.0006717079149412176|0.00042163955934855897",0,1,0,"bridge",0.000671707914941218,1,1,"United Kingdom","Sovereign",0,0.0483783783783784,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,2662704,1671413
"630","225","225-630",0.518995652633104,"0.0000572327602900687|0.000004284852891551225",0,1,0,"bridge",5.72327602900687e-05,1,1,"Switzerland","Sovereign",6,0.15375,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,226875.247954676,16985.5002151396
"630","255","255-630",0.73602598018619,"0.0002805356576341606|0.000264400267129936",0,1,0,"bridge",0.000280535657634161,1,1,"Germany (Zollverein)","Sovereign",6,0.267910447761194,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,1112065.82669266,1048103.84577582
"630","365","365-630",3.89002276274974,"0.0007026251250764725|0.0005962649282589983",0,1,0,"bridge",0.000702625125076473,1,1,"Russia (USSR)","Sovereign",8,0.398214285714286,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,2785262.29842825,2363641.95540838
"630","380","380-630",0.960265531425973,"0.0001096311377505355|0.0000370966616713805",0,1,0,"bridge",0.000109631137750536,1,1,"Sweden","Sovereign",8,0.188333333333333,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,434586.614984949,147054.139488107
"630","511","511-630",0.595885131740328,"1.0934160053834574e-7|2.710741516221361e-7",0.8,0.2,0.64,"2",2.71074151622136e-07,1,1,"Zanzibar","Protectorate of",2,0.432666666666667,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,433.438866274687,1074.55965869337
"630","640","630-640",1.62390813838678,"6.59410740881915e-7|0.00003315306064079956",0,1,0,"bridge",3.31530606407996e-05,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,2613.95701663407,131421.388994984
"630","645","630-645",3.6706954851063,"0.00005971952940611472|0.00007387867947747141",0.95,0.05,0.19,"2",7.38786794774714e-05,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,236733,292861.005481223
"630","681","630-681",0.942851130034525,"5.162635688412817e-8|0.0000028281754351537926",1,0,0,"2",2.82817543515379e-06,1,1,"Aden","Dependency of",2,0.311785714285714,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,204.651015602258,11211.1140517747
"630","740","630-740",0.450272632896693,"0.00014175311776264265|0.000024866550806811666",0.6,0.4,0.96,"1",0.000141753117762643,1,1,"Japan","Sovereign",1,0.411052631578948,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,561920.717745436,98573
"630","750","630-750",1.32135897840072,"0.00008295267879966773|0.00017522832400286562",0.75,0.25,0.75,"2",0.000175228324002866,1,1,"India","Colony of",2,0.465609756097561,1,1,"Iran (Persia)","Sovereign",2,0.169333333333333,328831.065910426,694619.117710646
"640","225","225-640",0.29047169771933,"0.00006051180764956986|0.00003336579081179887",1,0,0,"6",6.05118076495699e-05,1,1,"Switzerland","Sovereign",6,0.15375,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,239873.654443748,132264.66843928
"640","338","338-640",1.98706196168012,"0.000001163699987540424",0.7,0.3,0.84,"6",1.16369998754042e-06,1,1,"Malta","Colony of",6,0.364166666666667,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,4613,NA
"640","350","350-640",1.5807134005804,"0.000029110416615835598|0.00008736036783317103",1,0,0,"6",8.7360367833171e-05,1,1,"Greece","Sovereign",6,0.221379310344828,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,115396.024135632,346303.498435347
"640","355","355-640",0.463558606994886,"0.000009972373523283134|0.000008168946000388818",1,0,0,"6",9.97237352328313e-06,1,1,"Bulgaria","Sovereign",6,0.0733333333333333,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,39531.2877506644,32382.3565379944
"640","375","375-640",0.313073595894547,"0.00003120118032604894|0.0000070952612080428475",0.2,0.8,0.64,"bridge",3.12011803260489e-05,1,1,"Finland","Sovereign",8,0.264,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,123683.979019604,28126.183984826
"640","380","380-640",0.461845137500313,"0.00008849420288021478|0.00006408158570158448",0,1,0,"bridge",8.84942028802148e-05,1,1,"Sweden","Sovereign",8,0.188333333333333,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,350798.111418086,254024.540694721
"645","600","600-645",0.858453820901335,"0.0000026498403910794827|0.00000437831714367041",0,1,0,"bridge",4.37831714367041e-06,1,1,"Morocco","Protectorate of",6,0.494545454545455,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,10504.1796467537,17356
"645","640","640-645",0.0101552905026107,"0.000003592011266130281|0.000002040826555213967",0.05,0.95,0.19,"bridge",3.59201126613028e-06,1,1,"Turkey (Ottoman Empire)","Sovereign",6,0.1465,1,1,"Iraq (Mesopotamia)","Sovereign",2,0.345555555555556,14239.0204933154,8090
