"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceBlockLouvain","sourceBlockIntraMax","sourceBlockAn","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetBlockLouvain","targetBlockIntraMax","targetBlockAn","targetMeanAmbiguityScore","export","import"
"220","101","101-220",0.0384984441507625,"0.0003971519658469312",0,1,0,0.000397151965846931,NA,NA,"Venezuela",NA,3,3,"WE",0,NA,NA,"France",NA,5,3,"WE",0,NA,205973.223480947
"220","120","120-220",2.43432933745918,"0.00003513206289881953|0.0004277021170659259",1,0,0,0.000427702117065926,NA,NA,"French Guiana",NA,5,3,"WE",0,NA,NA,"France",NA,5,3,"WE",0,18220.3913491246,221817.317594867
"220","130","130-220",0.76911279073377,"0.00010692552926648147",0,1,0,0.000106925529266481,NA,NA,"Ecuador",NA,6,3,"WE",0.16,NA,NA,"France",NA,5,3,"WE",0,NA,55454.3293987166
"220","135","135-220",0.664049254791402,"0.0019704847536251586",0,1,0,0.00197048475362516,NA,NA,"Peru",NA,6,3,"WE",0,NA,NA,"France",NA,5,3,"WE",0,NA,1021944.07034778
"220","140","140-220",0.418033387840254,"0.004452684540168479|0.000800601837790681",0,1,0,0.00445268454016848,NA,NA,"Brazil",NA,7,2,"LA",0.0146153846153846,NA,NA,"France",NA,5,3,"WE",0,415212.703033864,2309276.7171037
"220","155","155-220",0.483320536874553,"0.0018100964597254363|0.0005888277712481395",0,1,0,0.00181009645972544,NA,NA,"Chile",NA,6,3,"WE",0,NA,NA,"France",NA,5,3,"WE",0,305381.225698945,938762.576249703
"220","160","160-220",0.959832208247651,"0.0025127499377623147|0.0014058132484533854",0,1,0,0.00251274993776231,NA,NA,"Argentina (La Plata)",NA,6,3,"WE",0.102,NA,NA,"France",NA,5,3,"WE",0,729090.905489228,1303176.74086984
"220","165","165-220",0.820362807369222,"0.0012754688133930288",0,1,0,0.00127546881339303,NA,NA,"Uruguay",NA,7,3,"WE",0.076,NA,NA,"France",NA,5,3,"WE",0,NA,661490.92925612
"220","200","200-220",0.0875163342601022,"0.01672363844937596|0.05930709136191467",0,1,0,0.0593070913619147,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"France",NA,5,3,"WE",0,8673309,30758182.8458096
"220","211","211-220",1.39162435604304,"0.014169424584217863|0.01608465461680071",0,1,0,0.0160846546168007,NA,NA,"Belgium",NA,1,3,"WE",0,NA,NA,"France",NA,5,3,"WE",0,7348628.0000094,8341915.55097837
"220","41","220-41",0.338440744148741,"0.0008401291585223544",0,1,0,0.000840129158522354,NA,NA,"Haiti",NA,3,3,"WE",0,NA,NA,"France",NA,5,3,"WE",0,NA,435712.588132774
"220","5","220-5",0.334583344875699,"0.0006339156377941402",0,1,0,0.00063391563779414,NA,NA,"Virgin Islands (Danish West Indies)",NA,3,1,"LA",0,NA,NA,"France",NA,5,3,"WE",0,NA,328764.95286382
"220","65","220-65",2.43432933745918,"0.0015297141983722832|0.0010005174524220766",1,0,0,0.00152971419837228,NA,NA,"Guadeloupe",NA,5,1,"LA",0,NA,NA,"France",NA,5,3,"WE",0,793349.1246138,518894.082230848
