key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
200-561,200,561,1.5827675089534132,0.0031487666660429854|0.006763204449649251,0.2,0.8,0.6400000000000001,bridge,0.006763204449649251,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Cape Colony (Cape of Good Hope),Colony of,9,0.17
200-562,200,562,1.6165283748241825,0.0016345982243804508|0.0010184080040309112,0.2,0.8,0.6400000000000001,bridge,0.0016345982243804508,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Natal,Colony of,9,0.21333333333333337
200-590,200,590,0.46867160331800234,0.0002045600082009647|0.00023375674261870346,0.1,0.9,0.36000000000000004,bridge,0.00023375674261870346,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Mauritius,Colony of,9,0.06545454545454545
200-681,200,681,0.3429807849941816,0.0001333722746516797,0.1,0.9,0.36000000000000004,bridge,0.0001333722746516797,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,,Aden,Dependency of,9,0.18000000000000002
200-827,200,827,0.8950878330212785,0.0020880736251887677|0.0035284941914269083,0,1,0,bridge,0.0035284941914269083,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Straits Settlements,Colony of,7,0.16666666666666666
200-780,200,780,0.9063378744779944,0.0005707714667565118|0.0014195777245972678,0.1,0.9,0.36000000000000004,bridge,0.0014195777245972678,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Sri Lanka (Ceylon),Colony of,9,0.045000000000000005
200-902,200,902,0.9965633377280607,0.00025828351402511224|0.000388501932339142,0,1,0,bridge,0.000388501932339142,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Western Australia,Colony of,10,0
200-903,200,903,0.8013928547128524,0.001535300487498865|0.003060119538264866,0,1,0,bridge,0.003060119538264866,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,South Australia,Colony of,10,0
200-904,200,904,1.0401707597151317,0.007164445867077434|0.006484985985705496,0,1,0,bridge,0.007164445867077434,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Victoria,Colony of,10,0
200-901,200,901,0.9442586239362354,0.006540588916008759|0.006828658045417849,0,1,0,bridge,0.006828658045417849,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,New South Wales,Colony of,10,0
200-905,200,905,0.9788695681249646,0.002211537232419478|0.0015997519383673252,0,1,0,bridge,0.002211537232419478,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Queensland,Colony of,10,0
200-906,200,906,0.7602677033055645,0.00039051025005300185|0.00017831331769343648,0,1,0,bridge,0.00039051025005300185,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Tasmania,Colony of,10,0
200-920,200,920,1.4296251705208778,0.0024118389303775774|0.0045986826357681965,0,1,0,bridge,0.0045986826357681965,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,New Zealand,Colony of,10,0
200-950,200,950,1.3117857688619776,0.000011908929307657531|8.055827171519673e-9,0,1,0,bridge,0.000011908929307657531,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Fiji,Colony of,10,0
20-200,200,20,0.9735785663107409,0.005761863521063922|0.0055863149541910155,0,1,0,bridge,0.005761863521063922,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Canada (Province of Canada),Colony of,2,0
200-21,200,21,0.6754754058396855,0.0003386548905499297|0.00026970345462345855,0,1,0,bridge,0.0003386548905499297,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Newfoundland and Labrador (Newfoundland),Colony of,2,0
200-30,200,30,1.6148910121827509,0.00006602072600147231|9.336703691791299e-7,0,1,0,bridge,0.00006602072600147231,1,1,United Kingdom,Sovereign,1,0.1331944444444445,1,1,Bermuda,Colony of,2,0
