key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
2-385,385,2,17.803236924368726,95726,0,1,0,bridge,95726,1,Norway,Sovereign (limited),0,0.08222222222222225,1,1,United States of America,Sovereign,1,0.04596491228070175
2249-300,2249,300,19.939203800066096,667,0,1,0,bridge,667,1,Heligoland,Colony of,3,0,1,,Austria-Hungary (Austrian Empire),Sovereign,2,0.008636363636363636
231-300,231,300,20.187112654024222,4974,0,1,0,bridge,4974,1,Gibraltar,Colony of,1,0.4266666666666667,1,,Austria-Hungary (Austrian Empire),Sovereign,2,0.008636363636363636
300-338,338,300,19.791460876262516,6826,1,0,0,2,6826,1,Malta,Colony of,2,0,1,,Austria-Hungary (Austrian Empire),Sovereign,2,0.008636363636363636
200-300,200,300,18.118384619726626,1028136,0,1,0,bridge,1028136,1,United Kingdom,Sovereign,1,0.006333333333333333,1,,Austria-Hungary (Austrian Empire),Sovereign,2,0.008636363636363636
327-615,615,327,19.01234366964858,1778,0,1,0,bridge,1778,1,Algeria (Regency of Algiers),Colony of,0,0,1,,Papal States,Sovereign,2,0
220-327,220,327,19.131745764494056,194301,0,1,0,bridge,194301,1,France,Sovereign,0,0.15072727272727274,1,,Papal States,Sovereign,2,0
327-380,380,327,17.38494078139202,1533,0,1,0,bridge,1533,1,Sweden,Sovereign,0,0.06470588235294118,1,,Papal States,Sovereign,2,0
327-385,385,327,17.668284500861763,4401,0,1,0,bridge,4401,1,Norway,Sovereign (limited),0,0.08222222222222225,1,,Papal States,Sovereign,2,0
276-365,276,365,19.735595023467972,59,0.85,0.15000000000000002,0.51,2,59,1,Lübeck,Sovereign (limited),2,0.27666666666666667,1,1,Russia (USSR),Sovereign,2,0.14678571428571435
246-365,246,365,20.314273655874306,633791,0.25,0.75,0.75,bridge,633791,1,Bremen,Sovereign (unrecognized),4,0.5437500000000001,1,1,Russia (USSR),Sovereign,2,0.14678571428571435
585-750,585,750,15.272133978060614,2863,0.85,0.15000000000000002,0.51,4,2863,1,Reunion (Bourbon I.),Colony of,4,0.3825,1,1,India,Colony of,4,0.057619047619047625
590-750,590,750,20.437247842037383,68694,0.85,0.15000000000000002,0.51,4,68694,1,Mauritius,Colony of,4,0.24571428571428575,1,1,India,Colony of,4,0.057619047619047625
246-850,246,850,18.54561801328295,15004,0.65,0.35,0.9099999999999999,4,15004,1,Bremen,Sovereign (unrecognized),4,0.5437500000000001,1,,Indonesia (Dutch East Indies),Colony of,4,0.10733333333333334
390-850,390,850,17.51349390036795,2781,0,1,0,bridge,2781,1,Denmark,Sovereign,0,0.07400000000000002,1,,Indonesia (Dutch East Indies),Colony of,4,0.10733333333333334
380-850,380,850,19.160803586920363,11898,0,1,0,bridge,11898,1,Sweden,Sovereign,0,0.06470588235294118,1,,Indonesia (Dutch East Indies),Colony of,4,0.10733333333333334
