key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
225-616,225,616,0.6308132403675002,0.000009068811584901499|0.00003869359609557981,1,0,0,0.00003869359609557981,,,Switzerland,,0,3,WE,0.24571428571428572,,,Tunisia (Regency of Tunis),,0,1,ME,0.16523809523809527
225-630,225,630,0.07239894723694179,0.00013240464913956193|0.000045344057924507576,0.75,0.25,0.75,0.00013240464913956193,,,Switzerland,,0,3,WE,0.24571428571428572,,,Iran (Persia),,3,1,ME,0.37736842105263146
225-640,225,640,0.8126015510051819,0.00009975692743391657|0.0001656569582842008,1,0,0,0.0001656569582842008,,,Switzerland,,0,3,WE,0.24571428571428572,,,Turkey (Ottoman Empire),,0,5,AF,0.21607142857142855
225-645,225,645,0.34335325496248736,0.00005018075743645504,0.85,0.15000000000000002,0.51,0.00005018075743645504,,,Switzerland,,0,3,WE,0.24571428571428572,,,Iraq (Mesopotamia),,0,1,AS,0.24511111111111117
225-652,225,652,0.159283339898599,0.0000036275246339605996|0.000023578910120743946,0.9,0.09999999999999998,0.35999999999999993,0.000023578910120743946,,,Switzerland,,0,3,WE,0.24571428571428572,,,Syria,,0,1,ME,0.3051515151515153
225-660,225,660,0.22578949757458833,0.00007496884243518581|0.000002781102219369791,0.85,0.15000000000000002,0.51,0.00007496884243518581,,,Switzerland,,0,3,WE,0.24571428571428572,,,Lebanon,,0,1,ME,0.251
225-666,225,666,0.8255141386568099,0.00016505237084520747|0.00013421841145654225,0.05,0.95,0.19,0.00016505237084520747,,,Switzerland,,0,3,WE,0.24571428571428572,,,Israel,,4,1,AF,0.2232432432432433
225-670,225,670,0.03676357478391027,0.000027811022193697907|0.00006892296804525153,0.85,0.15000000000000002,0.51,0.00006892296804525153,,,Switzerland,,0,3,WE,0.24571428571428572,,,Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah),,0,1,ME,0.25424242424242427
225-690,225,690,0.1150852414825416,0.00006590003085028422,0.85,0.15000000000000002,0.51,0.00006590003085028422,,,Switzerland,,0,3,WE,0.24571428571428572,,,Kuwait,,0,1,AS,0.22750000000000004
225-70,70,225,0.6603953520369883,0.00027569187218100613|0.00022490652730555692,0,1,0,0.00027569187218100613,,,Mexico,,5,1,LA,0,,,Switzerland,,0,3,WE,0.24571428571428572
225-700,225,700,0.8623382544952101,0.000022744579454932978|0.00001390551109684897,0.75,0.25,0.75,0.000022744579454932978,,,Switzerland,,0,3,WE,0.24571428571428572,,,Afghanistan,,0,1,AS,0.6620000000000001
225-720,225,720,0.6562386690385036,0.00007255049267921199|0.0003168038180325601,0,1,0,0.0003168038180325601,,,Switzerland,,0,3,WE,0.24571428571428572,,,Hong Kong,,2,1,AS,0.10469387755102043
