key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
220-337,337,220,0.6285057422567539,0.001961316723890192|0.0013718792637124459,1,0,0,0,0.001961316723890192,1,,Tuscany,Sovereign,0,0,1,France,Sovereign,0,0
225-337,337,225,1.9616869800331727,0.0003700597592245645,1,0,0,0,0.0003700597592245645,1,,Tuscany,Sovereign,0,0,1,Switzerland,Sovereign,0,0
300-337,337,300,2.7777413106902564,0.0010969628577013875|0.00040450174967239364,1,0,0,0,0.0010969628577013875,1,,Tuscany,Sovereign,0,0,1,Austria-Hungary (Austrian Empire),Sovereign,0,0
329-337,337,329,8.292946837606689,0.0008722837181721878,1,0,0,0,0.0008722837181721878,1,,Tuscany,Sovereign,0,0,1,Two Sicilies,Sovereign,0,0
337-365,337,365,1.0834590020386683,0.000528656798892235,0,1,0,bridge,0.000528656798892235,1,,Tuscany,Sovereign,0,0,1,Russia (USSR),Sovereign,2,0
337-615,337,615,7.194768291688304,0.00031455079534087983,1,0,0,0,0.00031455079534087983,1,,Tuscany,Sovereign,0,0,1,Algeria (Regency of Algiers),Colony of,0,0
300-338,300,338,8.359257049021183,0.0002699823538627961,1,0,0,0,0.0002699823538627961,1,,Austria-Hungary (Austrian Empire),Sovereign,0,0,1,Malta,Colony of,0,0
51-561,561,51,553.1381963742007,0.00002559250956500661,1,0,0,6,0.00002559250956500661,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,,Jamaica,Colony of,6,0
561-585,561,585,0.24087008575746638,0.000004279953106808444,0,1,0,bridge,0.000004279953106808444,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,1,Reunion (Bourbon I.),Colony of,0,0
561-590,561,590,62.726575517001,0.0002927072004849104,1,0,0,6,0.0002927072004849104,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,1,Mauritius,Colony of,6,0
561-780,561,780,0.34281959370016546,0.00000458183067703788,0,1,0,bridge,0.00000458183067703788,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,1,Sri Lanka (Ceylon),Colony of,1,0
561-901,561,901,553.1381963742006,0.00012534627554971125,1,0,0,6,0.00012534627554971125,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,1,New South Wales,Colony of,6,0
561-902,561,902,25.538881214365215,0.0000022406024101473675,0,1,0,bridge,0.0000022406024101473675,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,1,Western Australia,Colony of,5,0
561-903,561,903,553.1381963742007,0.000004709290095579198,1,0,0,6,0.000004709290095579198,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,1,South Australia,Colony of,6,0
4050-561,561,4050,316.1440909292227,0.00009911646889199807,1,0,0,6,0.00009911646889199807,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,1,St. Helena,Colony of,6,0
561-restOfTheWorld,561,restOfTheWorld,553.1381963742007,3.555446938257799e-7,1,0,0,6,3.555446938257799e-7,1,,Cape Colony (Cape of Good Hope),Colony of,6,0,,Rest Of The World,,6,0
276-300,300,276,3.16674198683042,0.000001718134596399764,0,1,0,bridge,0.000001718134596399764,1,,Austria-Hungary (Austrian Empire),Sovereign,0,0,1,Lübeck,Sovereign (limited),4,0
230-70,230,70,1.5451707756569482,0.00029007398555216935,1,0,0,1,0.00029007398555216935,1,,Spain,Sovereign,1,0,1,Mexico,Sovereign,1,0
136-230,230,136,53.05389120004444,0.00024053884349596691,1,0,0,1,0.00024053884349596691,1,,Spain,Sovereign,1,0,1,Bolivia-Peru Confederation,Sovereign (unrecognized),1,0
630-640,640,630,52.68059815981447,0.008380954829878268,1,0,0,0,0.008380954829878268,1,,Turkey (Ottoman Empire),Sovereign,0,0,1,Iran (Persia),Sovereign (unrecognized),0,0
337-640,640,337,0.1654687251986373,0.00014519321969003743,1,0,0,0,0.00014519321969003743,1,,Turkey (Ottoman Empire),Sovereign,0,0,1,Tuscany,Sovereign,0,0
