"year","cor","ic_bas","ic_haut"
1884,-0.179525711537486,-0.269930882526393,-0.0859830138761353
1885,-0.167749644554622,-0.250680593056306,-0.0823745004789563
1886,-0.195792536638799,-0.278861751409616,-0.109815105175735
1887,-0.173731599726232,-0.257915288827706,-0.086929877302622
1888,-0.185056858606366,-0.272164048877905,-0.0949413612005142
1889,-0.208611416379708,-0.291223010582106,-0.122911570852218
1890,-0.156949991151769,-0.238850391963022,-0.0728324354269198
1891,-0.195051840868112,-0.27534547268731,-0.112055717772108
1892,-0.16140579043619,-0.24330891420042,-0.0772172428846169
1893,-0.166207680133531,-0.247642246872975,-0.0824411230288015
1894,-0.185263881487561,-0.26691952640057,-0.100967130879061
1895,-0.158853958444526,-0.242016032046265,-0.0733749560991742
1896,-0.152892417271437,-0.232449042012336,-0.0713034525412081
1897,-0.145759689189856,-0.223521109103779,-0.0661545312204555
1898,-0.156872869030009,-0.23429872192263,-0.0774694812009497
1899,-0.136291358693485,-0.213493311849914,-0.0573977518987095
1900,-0.130001844673518,-0.206506373738875,-0.0519174007098317
1901,-0.112247421405451,-0.186794719639784,-0.0364148341423099
1902,-0.157894164925471,-0.231866953541455,-0.082105711955169
1903,-0.161468349542107,-0.2336579420523,-0.0875083962468902
1904,-0.167549025955347,-0.239402097969748,-0.093870700400604
1905,-0.148573142930724,-0.220505807810744,-0.0750331140027043
1906,-0.14878932224394,-0.219910517792235,-0.0760947772954783
1907,-0.158107491063877,-0.227034518687284,-0.0876043965086855
1908,-0.152520917478176,-0.22243107038892,-0.0810503166210429
1909,-0.160897323487378,-0.228428410256189,-0.0918253326146356
1910,-0.154892019499349,-0.221824623364144,-0.0865066130363268
1911,-0.163873822262965,-0.230079595053714,-0.0961581539876178
1912,-0.130174157859971,-0.195250601505202,-0.0639564798183291
1913,-0.125982874159451,-0.19099897697056,-0.0598661909530438
1914,-0.100001222704224,-0.168837303558575,-0.0301943762606428
1915,-0.118981952756542,-0.190939900970245,-0.045752053459703
1916,-0.116689429763629,-0.190638837176564,-0.0414231279341032
1917,-0.127006180947521,-0.200928476721069,-0.0516456267861239
1918,-0.123878419542993,-0.197822216362243,-0.0485327717112503
1919,-0.112378403862127,-0.179746979405372,-0.0439606271442086
1920,-0.118600263170823,-0.183105407302197,-0.0530782871661192
1921,-0.103310050043112,-0.166761059392656,-0.0390069155710866
1922,-0.0930461457284399,-0.154735799409122,-0.0306337423233209
1923,-0.0981496647649025,-0.160169001338295,-0.0353584499235045
1924,-0.101083478535935,-0.160071474227201,-0.0413760964247281
1925,-0.125678377889645,-0.184494497459727,-0.0659653029720079
1926,-0.120566207546201,-0.179120024193301,-0.0611612671719504
1927,-0.130841095950833,-0.187232153448075,-0.0735905033304562
1928,-0.108613835108676,-0.164402646569916,-0.0521323604758102
1929,-0.101016867368095,-0.157273045416595,-0.0441072058553532
1930,-0.0565408483490221,-0.112330954631439,-0.00039539337867161
1931,-0.0200419915850876,-0.076034259239265,0.0360762781399391
1932,-0.0112882822013561,-0.0667589999210901,0.044251999600868
1933,-0.0224707363828317,-0.07689234924032,0.0320843740856792
1934,-0.0299920720543643,-0.0840782869297898,0.0242703457124354
1935,-0.0316360561485419,-0.085122657452283,0.0220323522926939
1936,-0.0138734578493451,-0.0682326218574606,0.0405678357228201
1937,-0.00991484575173742,-0.062862306145187,0.0430882697696193
1938,-0.0249893896457834,-0.0776558256726621,0.0278161281381812
