key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
1055-115,115,1055,1.0177204239869135,0.0000012433827634054133,0.05,0.95,0.19,0.0000012433827634054133,,,Surinam (Dutch Guiana),,5,1,AS,0.1266666666666667,,,Windward Is.,,4,6,LA,0.011875
1055-120,120,1055,0.2893837255404137,2.6784889461114346e-8,1,0,0,2.6784889461114346e-8,,,French Guiana,,4,1,AS,0,,,Windward Is.,,4,6,LA,0.011875
1055-135,135,1055,1.6757402810454574,0.000023031480608997665,0,1,0,0.000023031480608997665,,,Peru,,2,1,AS,0.02375000000000002,,,Windward Is.,,4,6,LA,0.011875
1055-2,2,1055,1.196775980702487,0.0003633694493535743,1,0,0,0.0003633694493535743,,,United States of America,,4,2,WE,0.00475,,,Windward Is.,,4,6,LA,0.011875
1055-20,20,1055,1.4535570188198041,0.00006568364509533147,1,0,0,0.00006568364509533147,,,Canada (Province of Canada),,4,2,WE,0,,,Windward Is.,,4,6,LA,0.011875
1055-200,200,1055,0.9086709017988107,0.0004792563882036219,0,1,0,0.0004792563882036219,,,United Kingdom,,1,9,AF,0.014328358208955224,,,Windward Is.,,4,6,LA,0.011875
1055-2003,1055,2003,0.48459023359471787,9.966798341583075e-7,0,1,0,9.966798341583075e-7,,,Windward Is.,,4,6,LA,0.011875,,,Channel Is.,,1,1,WE,0
1055-21,21,1055,0.6194297044970356,0.0000010678237693261597,1,0,0,0.0000010678237693261597,,,Newfoundland and Labrador (Newfoundland),,4,6,LA,0.019,,,Windward Is.,,4,6,LA,0.011875
1055-30,30,1055,6.144322887454388,2.3472021554081784e-7|0.000004321530454897159,1,0,0,0.000004321530454897159,,,Bermuda,,4,6,LA,0,,,Windward Is.,,4,6,LA,0.011875
1055-5,5,1055,0.6791855825672567,4.3631175201131003e-7,1,0,0,4.3631175201131003e-7,,,Virgin Islands (Danish West Indies),,4,3,WE,0,,,Windward Is.,,4,6,LA,0.011875
1055-51,51,1055,5.00703364727774,2.431786016864329e-7,1,0,0,2.431786016864329e-7,,,Jamaica,,4,6,LA,0,,,Windward Is.,,4,6,LA,0.011875
1055-66,66,1055,2.115404349525158,0.000009018737463901241,1,0,0,0.000009018737463901241,,,Martinique,,4,3,WE,0,,,Windward Is.,,4,6,LA,0.011875
1063-110,110,1063,0.7019490529504098,0.0000015958155194727074,1,0,0,0.0000015958155194727074,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-2,2,1063,1.1169210502010816,0.00011365603950414165,1,0,0,0.00011365603950414165,,,United States of America,,4,2,WE,0.00475,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-200,200,1063,0.8945451021462509,0.00016008764538498338,0,1,0,0.00016008764538498338,,,United Kingdom,,1,9,AF,0.014328358208955224,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-21,21,1063,3.942834133701372,0.000010040618171898084,1,0,0,0.000010040618171898084,,,Newfoundland and Labrador (Newfoundland),,4,6,LA,0.019,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-5,5,1063,4.225363690803431,0.000005126337065273371,1,0,0,0.000005126337065273371,,,Virgin Islands (Danish West Indies),,4,3,WE,0,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-51,51,1063,6.20945703672293,2.7419268422035477e-7,1,0,0,2.7419268422035477e-7,,,Jamaica,,4,6,LA,0,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-65,65,1063,2.468345823209852,0.000003385241419494641,0.05,0.95,0.19,0.000003385241419494641,,,Guadeloupe,,2,3,WE,0.19000000000000009,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-66,66,1063,2.503164262311205,0.000004502693635954772,1,0,0,0.000004502693635954772,,,Martinique,,4,3,WE,0,,,Leeward Is.,,4,6,LA,0.015833333333333335
1063-68,68,1063,2.571510266770566,0.0000016228788502825379,0,1,0,0.0000016228788502825379,,,Netherlands Antilles,,5,1,AS,0,,,Leeward Is.,,4,6,LA,0.015833333333333335
11-385,11,385,0.4067863095770293,1.0890718317868151e-7,1,0,0,1.0890718317868151e-7,,,Faeroe Is.,,3,5,WE,0,,,Norway,,3,5,WE,0
11-390,11,390,4.82045007499004,0.000011507615690968852,1,0,0,0.000011507615690968852,,,Faeroe Is.,,3,5,WE,0,,,Denmark,,3,7,LA,0
110-115,110,115,3.836264891677539,0.00002886565245293565,0.05,0.95,0.19,0.00002886565245293565,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295,,,Surinam (Dutch Guiana),,5,1,AS,0.1266666666666667
110-120,110,120,3.1986891761464884,6.80900084722012e-7,1,0,0,6.80900084722012e-7,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295,,,French Guiana,,4,1,AS,0
110-2,2,110,0.7832832616373981,0.0002734046445777883|0.0004653899878779503,1,0,0,0.0004653899878779503,,,United States of America,,4,2,WE,0.00475,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
110-20,20,110,1.2004186676133708,0.000029590033610640675|0.00007066736260046683,1,0,0,0.00007066736260046683,,,Canada (Province of Canada),,4,2,WE,0,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
110-200,110,200,1.1623007081852683,0.0016947321162526028|0.0008558864724369842,0,1,0,0.0016947321162526028,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295,,,United Kingdom,,1,9,AF,0.014328358208955224
110-21,21,110,1.9313307149120675,0.000005494765716699678,1,0,0,0.000005494765716699678,,,Newfoundland and Labrador (Newfoundland),,4,6,LA,0.019,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
110-235,110,235,0.5861992045859237,0.000009751814360382026,0,1,0,0.000009751814360382026,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295,,,Portugal,,1,3,WE,0.06
110-30,30,110,4.898312837359487,0.0000010227598581072874|0.0000033206214276660444,1,0,0,0.0000033206214276660444,,,Bermuda,,4,6,LA,0,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
110-5,5,110,1.2205431587518853,0.000001038971764886383,1,0,0,0.000001038971764886383,,,Virgin Islands (Danish West Indies),,4,3,WE,0,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
110-51,51,110,0.5073084828361772,0.0000034418582957531936,1,0,0,0.0000034418582957531936,,,Jamaica,,4,6,LA,0,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
