key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntramax,sourceBlockAN,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntramax,targetBlockAN,targetMeanAmbiguityScore
135-255,255,135,0.25007223732726264,0.00022196881939569305|0.00019723345557857397,0.5,0.5,1,0.00022196881939569305,,,Germany (Zollverein),,7,,,0.440754716981132,,,Peru,,0,,,0.22714285714285715
135-211,211,135,0.6050765658398867,0.00007988297460718619|0.00006581304880930897,0,1,0,0.00007988297460718619,,,Belgium,,3,,,0.06806451612903226,,,Peru,,0,,,0.22714285714285715
135-235,235,135,0.6777630600297279,0.000009304995129702038,0,1,0,0.000009304995129702038,,,Portugal,,7,,,0.225,,,Peru,,0,,,0.22714285714285715
135-200,200,135,0.9952605583316902,0.0005064140808035533|0.0009582291210351777,0.3,0.7,0.84,0.0009582291210351777,,,United Kingdom,,3,,,0.30387096774193567,,,Peru,,0,,,0.22714285714285715
135-720,720,135,0.9030302758092628,0.000029366498739548022,0,1,0,0.000029366498739548022,,,Hong Kong,,5,,,0,,,Peru,,0,,,0.22714285714285715
135-740,740,135,0.1812019229829546,0.000002795148316583062|0.000032413126240975135,0,1,0,0.000032413126240975135,,,Japan,,5,,,0,,,Peru,,0,,,0.22714285714285715
380-385,385,380,2.3531426577722767,0.0003603140722412358|0.0007211475257347558,1,0,0,0.0007211475257347558,,,Norway,,3,,,0.32399999999999995,,,Sweden,,3,,,0.41538461538461535
255-380,255,380,0.9901656517436079,0.003680740644397344|0.0021849768750813897,0.15,0.85,0.51,0.003680740644397344,,,Germany (Zollverein),,7,,,0.440754716981132,,,Sweden,,3,,,0.41538461538461535
210-380,210,380,0.13413806361690708,0.00027506956859877767|0.0009042706537974645,0,1,0,0.0009042706537974645,,,Netherlands,,7,,,0.33,,,Sweden,,3,,,0.41538461538461535
200-380,200,380,0.6086164665567275,0.0027215300624368354|0.003063107427098567,0.6,0.4,0.96,0.003063107427098567,,,United Kingdom,,3,,,0.30387096774193567,,,Sweden,,3,,,0.41538461538461535
380-651,651,380,0.37523333831475403,0.000015102359887972312|0.00009281549088421842,0,1,0,0.00009281549088421842,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266,,,Sweden,,3,,,0.41538461538461535
380-490,490,380,0.07790689359566792,0.000012603262883584224|3.3986614449567333e-7,0.25,0.75,0.75,0.000012603262883584224,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,3,,,0.3888888888888889,,,Sweden,,3,,,0.41538461538461535
140-380,140,380,0.06267346072910264,0.00021956623612829222|0.00003644201290837181,0.7,0.30000000000000004,0.8400000000000001,0.00021956623612829222,,,Brazil,,0,,,0.3021428571428571,,,Sweden,,3,,,0.41538461538461535
200-651,200,651,1.0228097468404007,0.0021588033554265796|0.00625737888703608,0,1,0,0.00625737888703608,,,United Kingdom,,3,,,0.30387096774193567,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
300-651,300,651,0.9646329306022874,0.00045872472099234345|0.000556478531567279,1,0,0,0.000556478531567279,,,Austria-Hungary (Austrian Empire),,2,,,0.018947368421052633,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
211-651,211,651,0.07238154204757588,0.00021718585930047987|0.00005861203537085162,0,1,0,0.00021718585930047987,,,Belgium,,3,,,0.06806451612903226,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
350-651,350,651,2.0696754176094987,0.00012140103262470246|0.000010995661671576619,1,0,0,0.00012140103262470246,,,Greece,,2,,,0.025714285714285717,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
630-651,630,651,0.8847487767571994,0.00002407897749395456|2.1783150616650162e-8,0,1,0,0.00002407897749395456,,,Iran (Persia),,1,,,0,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
360-651,360,651,0.9992790463072289,0.00013674962810617157|0.000004592804219783354,1,0,0,0.00013674962810617157,,,Romania,,2,,,0,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
225-651,225,651,0.20202421308590102,0.00003799694532751384|0.00029845226749801695,1,0,0,0.00029845226749801695,,,Switzerland,,2,,,0.024000000000000004,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
640-651,640,651,2.7422239801643644,0.0008458207423359019|0.00030098436448031845,1,0,0,0.0008458207423359019,,,Turkey (Ottoman Empire),,2,,,0.017142857142857144,,,Egypt Arab Republic (Egypt),,2,,,0.037894736842105266
200-52,200,52,1.0132423709588136,0.00028981194334631454|0.0001144456030931106,0,1,0,0.00028981194334631454,,,United Kingdom,,3,,,0.30387096774193567,,,Trinidad and Tobago,,4,,,0.07384615384615384
110-52,110,52,3.3894734526420907,0.000011574927461514408|0.000001223353513307082,1,0,0,0.000011574927461514408,,,Guyana (British Guiana),,4,,,0.045714285714285714,,,Trinidad and Tobago,,4,,,0.07384615384615384
2-52,2,52,1.3523691734866294,0.00023686914674712624|0.00012378705996686485,0.6,0.4,0.96,0.00023686914674712624,,,United States of America,,0,,,0.5798113207547171,,,Trinidad and Tobago,,4,,,0.07384615384615384
5-52,5,52,1.3993982522868753,1.0016128147055925e-7,1,0,0,1.0016128147055925e-7,,,Virgin Islands (Danish West Indies),,4,,,0.12777777777777777,,,Trinidad and Tobago,,4,,,0.07384615384615384
101-52,101,52,4.543370391123033,0.0000909357345074376|0.0000020350918705682695,1,0,0,0.0000909357345074376,,,Venezuela,,4,,,0.12777777777777777,,,Trinidad and Tobago,,4,,,0.07384615384615384
710-720,720,710,3.6636447187773156,0.006158792067468353,1,0,0,0.006158792067468353,,,Hong Kong,,5,,,0,,,People's Republic of China (China),,5,,,0
710-721,721,710,4.037511238169948,0.00021782585941526646,1,0,0,0.00021782585941526646,,,Macao,,5,,,0,,,People's Republic of China (China),,5,,,0
710-810,810,710,2.0449102623519404,0.0002474167983466231|0.00027581038372915314,1,0,0,0.00027581038372915314,,,French Indochina,,5,,,0,,,People's Republic of China (China),,5,,,0
710-800,800,710,1.9147288885532403,0.000003618419390490521|0.00015734091965888044,1,0,0,0.00015734091965888044,,,Thailand (Siam),,5,,,0,,,People's Republic of China (China),,5,,,0
710-750,750,710,1.1634423317657716,0.0016549578334591774|0.00027817591120365146,0,1,0,0.0016549578334591774,,,India,,1,,,0,,,People's Republic of China (China),,5,,,0
200-710,200,710,0.11748419833609654,0.002792647337913664|0.0015339341188471253,0,1,0,0.002792647337913664,,,United Kingdom,,3,,,0.30387096774193567,,,People's Republic of China (China),,5,,,0
710-730,730,710,2.1336889270410464,0.00008578332825991438,1,0,0,0.00008578332825991438,,,Korea (Chosen),,5,,,0,,,People's Republic of China (China),,5,,,0
200-95,200,95,0.3553690586590367,0.00011386733549044121|0.000006536940992578574,0.25,0.75,0.75,0.00011386733549044121,,,United Kingdom,,3,,,0.30387096774193567,,,Panama,,0,,,0.2915384615384616
325-95,325,95,0.08783128737069405,0.000013593087910103644,0,1,0,0.000013593087910103644,,,Italy,,2,,,0.009230769230769232,,,Panama,,0,,,0.2915384615384616
230-95,230,95,0.8205292954511754,0.00000864473032342688|0.0000033471311941280858,0.65,0.35,0.9099999999999999,0.00000864473032342688,,,Spain,,0,,,0.37310344827586206,,,Panama,,0,,,0.2915384615384616
155-95,155,95,1.8724655720438501,0.000002695505510255063|0.0000032021556495178153,0.95,0.050000000000000044,0.19000000000000017,0.0000032021556495178153,,,Chile,,0,,,0.35764705882352943,,,Panama,,0,,,0.2915384615384616
94-95,94,95,2.7458682716223066,2.2737404323184026e-7|8.454645380397202e-7,1,0,0,8.454645380397202e-7,,,Costa Rica,,0,,,0.42666666666666664,,,Panama,,0,,,0.2915384615384616
130-95,130,95,1.6204990601484321,0.0000018284888735649338,0.95,0.050000000000000044,0.19000000000000017,0.0000018284888735649338,,,Ecuador,,0,,,0.3384615384615385,,,Panama,,0,,,0.2915384615384616
92-95,92,95,3.5619953791550505,0.00000485883726107926,1,0,0,0.00000485883726107926,,,El Salvador,,0,,,0.26866666666666666,,,Panama,,0,,,0.2915384615384616
211-490,211,490,3.06416135417289,0.0001921925699621382|0.0007786885908742852,1,0,0,0.0007786885908742852,,,Belgium,,3,,,0.06806451612903226,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,3,,,0.3888888888888889
255-490,255,490,0.5642396168479518,0.000009233332284093112|0.00025270536496004785,0,1,0,0.00025270536496004785,,,Germany (Zollverein),,7,,,0.440754716981132,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,3,,,0.3888888888888889
490-541,541,490,4.516981881122917,0.00000598466670964233,1,0,0,0.00000598466670964233,,,Mozambique (Portuguese East Africa),,3,,,0.375,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,3,,,0.3888888888888889
390-490,390,490,0.31083447219625376,0.000003417931034669595,0.25,0.75,0.75,0.000003417931034669595,,,Denmark,,3,,,0.22714285714285712,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,3,,,0.3888888888888889
235-490,235,490,1.122617595322714,0.000002986960171773132,0.5,0.5,1,0.000002986960171773132,,,Portugal,,7,,,0.225,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,3,,,0.3888888888888889
490-540,540,490,1.0792924938250483,3.906481622421782e-8,0.5,0.5,1,3.906481622421782e-8,,,Angola,,7,,,0.31285714285714283,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),,3,,,0.3888888888888889
200-51,200,51,1.129081084077605,0.0003502340789071378|0.000031069840528617536,0,1,0,0.0003502340789071378,,,United Kingdom,,3,,,0.30387096774193567,,,Jamaica,,4,,,0.08214285714285714
2-51,2,51,1.3592258631277128,0.00036771946689316494|0.00003360599976887207,0.6,0.4,0.96,0.00036771946689316494,,,United States of America,,0,,,0.5798113207547171,,,Jamaica,,4,,,0.08214285714285714
