"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"130","220","130-220",21.3456111027097,"119066.5184949992",0.4,0.6,0.96,"bridge",119066.518494999,1,1,"France","Sovereign",3,0.54536231884058,1,"Ecuador","Sovereign",2,0.185454545454545,119066.518494999,NA
"130","230","130-230",20.6321692714924,"12004.93031812002",1,0,0,"2",12004.93031812,1,1,"Spain","Sovereign",2,0.163684210526316,1,"Ecuador","Sovereign",2,0.185454545454545,12004.93031812,NA
"130","255","130-255",21.9058156512907,"147961",0.1,0.9,0.36,"bridge",147961,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"Ecuador","Sovereign",2,0.185454545454545,147961,NA
"130","70","130-70",21.5521034253361,"3072",1,0,0,"2",3072,1,1,"Mexico","Sovereign",2,0.1452,1,"Ecuador","Sovereign",2,0.185454545454545,3072,NA
"130","750","130-750",19.7686833699657,"11616",0,1,0,"bridge",11616,1,1,"India","Colony of",1,0.0477966101694915,1,"Ecuador","Sovereign",2,0.185454545454545,11616,NA
"135","1032","1032-135",18.5542689657708,"4",1,0,0,"2",4,1,1,"Turks and Caicos Is.","Dependency of",2,0.135,1,"Peru","Sovereign",2,0.184615384615385,4,NA
"135","1048","1048-135",18.6229724135127,"264",0.9,0.1,0.36,"2",264,1,1,"Trinidad","Colony of",2,0.1875,1,"Peru","Sovereign",2,0.184615384615385,264,NA
"135","20","135-20",19.6074390514458,"8918.913339663928",0.9,0.1,0.36,"2",8918.91333966393,1,1,"Canada (Province of Canada)","Colony of",2,0.0984782608695652,1,"Peru","Sovereign",2,0.184615384615385,8918.91333966393,NA
"135","200","135-200",21.7414778360048,"984667|2663968.487061438",0,1,0,"bridge",2663968.48706144,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Peru","Sovereign",2,0.184615384615385,984667,2663968.48706144
"135","255","135-255",19.8499817731571,"62530.53248656571",0.1,0.9,0.36,"bridge",62530.5324865657,1,1,"Germany (Zollverein)","Sovereign",0,0.258627450980392,1,"Peru","Sovereign",2,0.184615384615385,62530.5324865657,NA
